RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
DetectPhase3,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,92,,1,1,,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,92,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,92,,3,3,,3,3,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,92,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,92,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,92,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,92,,61,255,0,41,101,0,0,58,825,0,,0,83,1776,0,,,,,,,,,,,,,,,,
Up Node,93,,,94,94,82,82,,,,,,,7244,7244,,7244,,,,,,,,,,,,,,,,
Dest Node,93,,,82,7244,7244,94,,,,,,,7244,94,,82,,,,,,,,,,,,,,,,
Lanes,93,,,3,0,1,3,,,,,,,0,1,,1,,,,,,,,,,,,,,,,
Shared,93,,,2,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
Width,93,,,12,12,12,12,,,,,,,12,12,,12,,,,,,,,,,,,,,,,
Storage,93,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,93,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,93,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,93,,,35,,,35,,,,,,,,30,,,,,,,,,,,,,,,,,,
Phase1,93,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
PermPhase1,93,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
LostTime,93,,,3,3,3,3,,,,,,,3,3,,3,,,,,,,,,,,,,,,,
Lost Time Adjust,93,,,-3,-1,-3,-3,,,,,,,-1,-3,,-3,,,,,,,,,,,,,,,,
IdealFlow,93,,,1900,1900,1900,1900,,,,,,,1900,1900,,1900,,,,,,,,,,,,,,,,
SatFlow,93,,,5075,0,1770,5085,,,,,,,0,1863,,1583,,,,,,,,,,,,,,,,
SatFlowPerm,93,,,5075,0,88,5085,,,,,,,0,1863,,1583,,,,,,,,,,,,,,,,
Allow RTOR,93,,,1,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
SatFlowRTOR,93,,,4,0,0,0,,,,,,,0,0,,8,,,,,,,,,,,,,,,,
Volume,93,,,2188,29,45,580,,,,,,,0,0,,99,,,,,,,,,,,,,,,,
Peds,93,,,0,0,0,0,,,,,,,0,0,,0,,,,,,,,,,,,,,,,
Bicycles,93,,,0,0,0,0,,,,,,,0,0,,0,,,,,,,,,,,,,,,,
PHF,93,,,0.9,0.9,0.9,0.9,,,,,,,0.9,0.9,,0.9,,,,,,,,,,,,,,,,
Growth,93,,,100,100,100,100,,,,,,,100,100,,100,,,,,,,,,,,,,,,,
HeavyVehicles,93,,,2,2,2,2,,,,,,,2,2,,2,,,,,,,,,,,,,,,,
BusStops,93,,,0,0,0,0,,,,,,,0,0,,0,,,,,,,,,,,,,,,,
Midblock,93,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
Distance,93,,,960,,,1010,,,,,,,,800,,,,,,,,,,,,,,,,,,
TravelTime,93,,,18.7,,,19.7,,,,,,,,18.2,,,,,,,,,,,,,,,,,,
Right Channeled,93,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
Alignment,93,,,0,1,0,0,,,,,,,3,0,,1,,,,,,,,,,,,,,,,
Enter Blocked,93,,,0,0,0,0,,,,,,,0,0,,0,,,,,,,,,,,,,,,,
HeadwayFact,93,,,1,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
Turning Speed,93,,,60,9,15,60,,,,,,,9,15,,9,,,,,,,,,,,,,,,,
FirstDetect,93,,,50,,50,50,,,,,,,,50,,50,,,,,,,,,,,,,,,,
LastDetect,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectPhase1,93,,,1,,1,1,,,,,,,,2,,2,,,,,,,,,,,,,,,,
DetectPhase2,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectPhase3,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectPhase4,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
SwitchPhase,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
numDetects,93,,,1,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,
DetectPos1,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectSize1,93,,,50,,50,50,,,,,,,,50,,50,,,,,,,,,,,,,,,,
DetectType1,93,,,3,,3,3,,,,,,,,3,,3,,,,,,,,,,,,,,,,
DetectExtend1,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectQueue1,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
DetectDelay1,93,,,0,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,
Exit Lanes,93,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
CBD,93,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,93,,,2463,0,50,644,,,,,,,0,0,,110,,,,,,,,,,,,,,,,
Up Node,94,,106,106,106,93,93,93,549,549,549,549,,96,96,96,96,,,,,,,,,,,,,,,,
Dest Node,94,,549,93,96,96,106,549,549,93,96,106,,96,106,549,93,,,,,,,,,,,,,,,,
Lanes,94,,2,3,0,2,3,0,0,1,3,0,,0,1,2,1,,,,,,,,,,,,,,,,
Shared,94,,0,2,,0,2,,,0,2,,,,0,0,,,,,,,,,,,,,,,,,
Width,94,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,94,,250,,,240,,,,150,,,,,100,,,,,,,,,,,,,,,,,,
Taper,94,,25,,,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,94,,2,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,94,,,35,,,35,,,,45,,,,,45,,,,,,,,,,,,,,,,,
Phase1,94,,3,8,,7,4,,,1,6,,,,5,2,7,,,,,,,,,,,,,,,,
PermPhase1,94,,,,,,,,,6,,,,,2,,2,,,,,,,,,,,,,,,,
LostTime,94,,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,,,,,,,,,,,,,,,,
Lost Time Adjust,94,,-2,-3,-1,-2,-3,-1,-1,-1,-3,-1,,-1,-1,-3,-2,,,,,,,,,,,,,,,,
IdealFlow,94,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,94,,3433,5009,0,3433,4902,0,0,1770,4968,0,,0,1770,3539,1583,,,,,,,,,,,,,,,,
SatFlowPerm,94,,3433,5009,0,3433,4902,0,0,210,4968,0,,0,704,3539,1583,,,,,,,,,,,,,,,,
Allow RTOR,94,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,94,,0,19,0,0,74,0,0,0,34,0,,0,0,0,129,,,,,,,,,,,,,,,,
Volume,94,,317,1730,189,128,450,141,0,153,405,72,,0,138,1128,442,,,,,,,,,,,,,,,,
Peds,94,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,94,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,94,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,
Growth,94,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,94,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,94,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,94,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,94,,,1450,,,960,,,,226,,,,,1130,,,,,,,,,,,,,,,,,
TravelTime,94,,,28.2,,,18.7,,,,3.4,,,,,17.1,,,,,,,,,,,,,,,,,
Right Channeled,94,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,94,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,94,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,94,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,94,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,94,,50,50,,50,50,,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
LastDetect,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase1,94,,3,8,,7,4,,,1,6,,,,5,2,7,,,,,,,,,,,,,,,,
DetectPhase2,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase3,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase4,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
SwitchPhase,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
numDetects,94,,1,1,,1,1,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,
DetectPos1,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectSize1,94,,50,50,,50,50,,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
DetectType1,94,,3,3,,3,3,,,3,3,,,,3,3,3,,,,,,,,,,,,,,,,
DetectExtend1,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectQueue1,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectDelay1,94,,0,0,,0,0,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
Exit Lanes,94,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,94,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,94,,352,2132,0,142,657,0,0,170,530,0,,0,153,1253,491,,,,,,,,,,,,,,,,
Up Node,95,,547,547,547,546,546,546,92,92,92,92,,549,549,549,549,,,,,,,,,,,,,,,,
Dest Node,95,,92,546,549,549,547,92,92,546,549,547,,549,547,92,546,,,,,,,,,,,,,,,,
Lanes,95,,0,0,0,0,0,0,0,0,2,0,,0,0,2,0,,,,,,,,,,,,,,,,
Shared,95,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Width,95,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,95,,,30,,,30,,,,40,,,,,45,,,,,,,,,,,,,,,,,
Phase1,95,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,
LostTime,95,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,95,,0,0,0,0,0,0,0,0,-2,0,,0,0,-2,0,,,,,,,,,,,,,,,,
IdealFlow,95,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,95,,0,0,0,0,0,0,0,0,3539,0,,0,0,3539,0,,,,,,,,,,,,,,,,
SatFlowPerm,95,,0,0,0,0,0,0,0,0,3539,0,,0,0,3539,0,,,,,,,,,,,,,,,,
Allow RTOR,95,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,95,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Volume,95,,0,0,0,0,0,0,0,0,653,0,,0,0,1369,0,,,,,,,,,,,,,,,,
Peds,95,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,95,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,95,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,95,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,95,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,95,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,95,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,95,,,128,,,180,,,,1320,,,,,1124,,,,,,,,,,,,,,,,,
TravelTime,95,,,2.9,,,4.1,,,,22.5,,,,,17,,,,,,,,,,,,,,,,,
Right Channeled,95,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,95,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,95,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,95,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,95,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,95,,,,,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,
LastDetect,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase1,95,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
DetectPhase2,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase3,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase4,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
SwitchPhase,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
numDetects,95,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
DetectPos1,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectSize1,95,,,,,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,
DetectType1,95,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,
DetectExtend1,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectQueue1,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectDelay1,95,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Exit Lanes,95,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,95,,0,0,0,0,0,0,0,0,710,0,,0,0,1488,0,,,,,,,,,,,,,,,,
Up Node,96,,7298,7298,7298,7272,7272,7272,94,94,94,94,,97,97,97,97,,,,,,,,,,,,,,,,
Dest Node,96,,94,7272,97,97,7298,94,94,7272,97,7298,,97,7298,94,7272,,,,,,,,,,,,,,,,
Lanes,96,,0,1,1,0,1,1,0,1,3,0,,0,1,3,0,,,,,,,,,,,,,,,,
Shared,96,,0,1,,0,1,,,0,2,,,,0,2,,,,,,,,,,,,,,,,,
Width,96,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,96,,,,25,,,20,,70,,,,,130,,,,,,,,,,,,,,,,,,
Taper,96,,,,25,,,25,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,96,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,96,,,30,,,30,,,,45,,,,,45,,,,,,,,,,,,,,,,,
Phase1,96,,,2,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,
PermPhase1,96,,2,,2,2,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,
LostTime,96,,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,,,,,,,,,,,,,,,,
Lost Time Adjust,96,,-3,-3,-3,-3,-3,-3,-1,-3,-3,-1,,-1,-3,-3,-1,,,,,,,,,,,,,,,,
IdealFlow,96,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,96,,0,1788,1583,0,1788,1583,0,1770,5060,0,,0,1770,5060,0,,,,,,,,,,,,,,,,
SatFlowPerm,96,,0,1367,1583,0,1362,1583,0,251,5060,0,,0,659,5060,0,,,,,,,,,,,,,,,,
Allow RTOR,96,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,96,,0,0,30,0,0,56,0,0,11,0,,0,0,12,0,,,,,,,,,,,,,,,,
Volume,96,,34,7,23,43,9,90,0,56,652,23,,0,27,1399,53,,,,,,,,,,,,,,,,
Peds,96,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,96,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,96,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,
Growth,96,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,96,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,96,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,96,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,96,,,800,,,400,,,,1130,,,,,1490,,,,,,,,,,,,,,,,,
TravelTime,96,,,18.2,,,9.1,,,,17.1,,,,,22.6,,,,,,,,,,,,,,,,,
Right Channeled,96,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,96,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,96,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,96,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,96,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,96,,50,50,25,50,50,20,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
LastDetect,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,96,,2,2,2,2,2,2,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPhase2,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,96,,1,1,1,1,1,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,96,,50,50,25,50,50,20,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,96,,3,3,3,3,3,3,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,96,,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,96,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,96,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,96,,0,46,26,0,58,100,0,62,750,0,,0,30,1613,0,,,,,,,,,,,,,,,,
Up Node,97,,7304,7304,7304,7271,7271,7271,96,96,96,96,,99,99,99,99,,,,,,,,,,,,,,,,
Dest Node,97,,96,7271,99,99,7304,96,96,7271,99,7304,,99,7304,96,7271,,,,,,,,,,,,,,,,
Lanes,97,,0,1,1,1,1,0,0,1,3,0,,0,1,3,0,,,,,,,,,,,,,,,,
Shared,97,,0,1,,0,2,,,0,2,,,,0,2,,,,,,,,,,,,,,,,,
Width,97,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,97,,,,100,120,,,,150,,,,,150,,,,,,,,,,,,,,,,,,
Taper,97,,,,25,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,97,,,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,97,,,30,,,30,,,,45,,,,,45,,,,,,,,,,,,,,,,,
Phase1,97,,,2,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,
PermPhase1,97,,2,,2,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
LostTime,97,,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,,,,,,,,,,,,,,,,
Lost Time Adjust,97,,-3,-3,-3,-3,-3,-1,-1,-3,-3,-1,,-1,-3,-3,-1,,,,,,,,,,,,,,,,
IdealFlow,97,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,97,,0,1801,1583,1770,1690,0,0,1770,5065,0,,0,1770,5050,0,,,,,,,,,,,,,,,,
SatFlowPerm,97,,0,1427,1583,1017,1690,0,0,203,5065,0,,0,626,5050,0,,,,,,,,,,,,,,,,
Allow RTOR,97,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,97,,0,0,33,0,31,0,0,0,6,0,,0,0,13,0,,,,,,,,,,,,,,,,
Volume,97,,73,34,30,74,18,30,0,26,691,17,,0,46,1504,75,,,,,,,,,,,,,,,,
Peds,97,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,97,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,97,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,
Growth,97,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,97,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,97,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,97,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,97,,,700,,,600,,,,1490,,,,,2630,,,,,,,,,,,,,,,,,
TravelTime,97,,,15.9,,,13.6,,,,22.6,,,,,39.8,,,,,,,,,,,,,,,,,
Right Channeled,97,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,97,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,97,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,97,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,97,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,97,,50,50,50,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
LastDetect,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,97,,2,2,2,2,2,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPhase2,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,97,,1,1,1,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,97,,50,50,50,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,97,,3,3,3,3,3,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,97,,0,0,0,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,97,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,97,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,97,,0,119,33,82,53,0,0,29,787,0,,0,51,1754,0,,,,,,,,,,,,,,,,
Up Node,99,,114,114,114,525,525,525,97,97,97,97,,102,102,102,102,,,,,,,,,,,,,,,,
Dest Node,99,,97,525,102,102,114,97,97,525,102,114,,102,114,97,525,,,,,,,,,,,,,,,,
Lanes,99,,2,2,0,2,2,1,0,2,3,0,,0,2,3,0,,,,,,,,,,,,,,,,
Shared,99,,0,2,,0,0,,,0,2,,,,0,2,,,,,,,,,,,,,,,,,
Width,99,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,99,,175,,,190,,300,,190,,,,,195,,,,,,,,,,,,,,,,,,
Taper,99,,25,,,25,,25,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,99,,2,,,2,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,
Grade,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
