RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
Speed,3,,,40,,,40,,,,40,,,,,40,,,,,,,,,,,,,,,,,
Phase1,3,,3,8,,7,4,,,1,6,,,,5,2,,,,,,,,,,,,,,,,,
PermPhase1,3,,8,,,4,,,,6,,,,,2,,,,,,,,,,,,,,,,,,
LostTime,3,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,3,,0,-2,0,0,-2,0,0,0,-2,0,,0,0,-2,0,,,,,,,,,,,,,,,,
IdealFlow,3,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,3,,3433,5034,0,3433,5060,0,0,1770,3270,0,,0,1770,3267,0,,,,,,,,,,,,,,,,
SatFlowPerm,3,,1290,5034,0,571,5060,0,0,980,3270,0,,0,570,3267,0,,,,,,,,,,,,,,,,
Allow RTOR,3,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,3,,0,10,0,0,4,0,0,0,109,0,,0,0,195,0,,,,,,,,,,,,,,,,
Volume,3,,32,1120,78,41,629,20,0,53,97,100,,0,192,171,179,,,,,,,,,,,,,,,,
Peds,3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,3,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,3,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,3,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,3,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,3,,,1640,,,2102,,,,2657,,,,,2663,,,,,,,,,,,,,,,,,
TravelTime,3,,,28,,,35.8,,,,45.3,,,,,45.4,,,,,,,,,,,,,,,,,
Right Channeled,3,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,3,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,3,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,3,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,3,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
LastDetect,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,3,,3,8,,7,4,,,1,6,,,,5,2,,,,,,,,,,,,,,,,,
DetectPhase2,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,3,,1,1,,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,3,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,3,,3,3,,3,3,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,3,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,3,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,3,,35,1302,0,45,706,0,0,58,214,0,,0,209,381,0,,,,,,,,,,,,,,,,
Up Node,4,,,411,411,378,378,,,,,,,,,,,,,,,,,,,,,,377,,377,,
Dest Node,4,,,378,377,377,411,,,,,,,,,,,,,,,,,,,,,,411,,378,,
Lanes,4,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Shared,4,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Width,4,,,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,12,,12,,
Storage,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,4,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,30,,,,
SignControl,4,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
IdealFlow,4,,,1900,1900,1900,1900,,,,,,,,,,,,,,,,,,,,,,1900,,1900,,
SatFlow,4,,,1863,3278,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
SatFlowPerm,4,,,1863,3278,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Allow RTOR,4,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,
SatFlowRTOR,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Volume,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Peds,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Bicycles,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
PHF,4,,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,0.92,,0.92,,
Growth,4,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,100,,100,,
HeavyVehicles,4,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,
BusStops,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Midblock,4,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Distance,4,,,455,,,736,,,,,,,,,,,,,,,,,,,,,,1120,,,,
