[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.90
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,04/19/2016
ScenarioTime,9:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2218665,261695,0,,,,,,
2,0,2218123,260485,0,,,,,,
3,1,2217593,260709,0,,,,,,
4,0,2220558,259441,0,,,,,,
6,1,2220753,259817,0,,,,,,
7,1,2220425,259200,0,,,,,,
8,0,2220921,259267,0,,,,,,
9,1,2221234,259729,0,,,,,,
10,1,2220693,258911,0,,,,,,
11,0,2221511,258983,0,,,,,,
12,1,2221753,259376,0,,,,,,
13,1,2221073,258621,0,,,,,,
14,1,2217675,259472,0,,,,,,
15,1,2224180,257800,0,,,,,,
16,0,2222995,258335,0,,,,,,
17,1,2223350,259066,0,,,,,,
18,1,2222780,257893,0,,,,,,
19,0,2222531,258551,0,,,,,,
Mandatory Distance,7,,200,,,,
Mandatory Distance2,7,,660,,,,
Positioning Distance,7,,440,,,,
Positioning Distance2,7,,880,,,,
Curve Pt X,7,,,,,,
Curve Pt Y,7,,,,,,
Curve Pt Z,7,,,,,,
Link Is Hidden,7,,false,,,,
Street Name Is Hidden,7,,false,,,,
Up ID,8,10,9,4,11,,
Lanes,8,0,3,2,4,,
Name,8,,I-75 SB Off Ramp,Shallowford Rd.,Shallowford Rd.,,
Distance,8,423,558,403,655,,
Speed,8,30,30,40,40,,
Time,8,9.6,12.7,6.9,11.2,,
Grade,8,0,0,0,0,,
Median,8,12,12,24,24,,
Offset,8,0,0,0,0,,
TWLTL,8,0,0,1,0,,
Crosswalk Width,8,16,16,16,16,,
Mandatory Distance,8,416,416,416,416,,
Mandatory Distance2,8,1320,1320,1761,1761,,
Positioning Distance,8,880,880,1174,1174,,
Positioning Distance2,8,1760,1760,2348,2348,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,false,false,false,false,,
Street Name Is Hidden,8,false,false,true,true,,
Up ID,9,8,,,,,
Lanes,9,0,,,,,
Name,9,I-75 SB Off Ramp,,,,,
Distance,9,558,,,,,
Speed,9,30,,,,,
Time,9,12.7,,,,,
Grade,9,0,,,,,
Median,9,0,,,,,
Offset,9,0,,,,,
TWLTL,9,0,,,,,
Crosswalk Width,9,16,,,,,
Mandatory Distance,9,200,,,,,
Mandatory Distance2,9,1320,,,,,
Positioning Distance,9,880,,,,,
Positioning Distance2,9,1760,,,,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,false,,,,,
Street Name Is Hidden,9,false,,,,,
Up ID,10,,8,,,,
Lanes,10,,2,,,,
Name,10,,,,,,
Distance,10,,423,,,,
Speed,10,,30,,,,
Time,10,,9.6,,,,
Grade,10,,0,,,,
Median,10,,0,,,,
Offset,10,,0,,,,
TWLTL,10,,0,,,,
Crosswalk Width,10,,16,,,,
Mandatory Distance,10,,200,,,,
Mandatory Distance2,10,,1320,,,,
Positioning Distance,10,,880,,,,
Positioning Distance2,10,,1760,,,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,,false,,,,
Street Name Is Hidden,10,,false,,,,
Up ID,11,,12,8,22,13,
Lanes,11,,0,3,4,4,
Name,11,,,Shallowford Rd.,Shallowford Rd.,I-75 NB Off Ramp,
Distance,11,,462,655,300,568,
Speed,11,,30,40,40,30,
Time,11,,10.5,11.2,5.1,12.9,
Grade,11,,0,0,0,0,
Median,11,,0,12,12,12,
Offset,11,,0,0,0,0,
TWLTL,11,,0,0,0,0,
Crosswalk Width,11,,16,16,16,16,
Mandatory Distance,11,,416,416,416,416,
Mandatory Distance2,11,,1320,1761,1761,1320,
Positioning Distance,11,,880,1174,1174,880,
Positioning Distance2,11,,1760,2348,2348,1760,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,,false,false,false,false,
Street Name Is Hidden,11,,false,true,true,false,
Up ID,12,11,,,,,
Lanes,12,*2,,,,,
Name,12,,,,,,
Distance,12,462,,,,,
Speed,12,30,,,,,
Time,12,10.5,,,,,
Grade,12,0,,,,,
Median,12,0,,,,,
Offset,12,0,,,,,
TWLTL,12,0,,,,,
Crosswalk Width,12,16,,,,,
Mandatory Distance,12,200,,,,,
Mandatory Distance2,12,1320,,,,,
Positioning Distance,12,880,,,,,
Positioning Distance2,12,1760,,,,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,,,,,
Street Name Is Hidden,12,false,,,,,
Up ID,13,,,,,,11
Lanes,13,,,,,,0
Name,13,,,,,,I-75 NB Off Ramp
Distance,13,,,,,,568
Speed,13,,,,,,30
Time,13,,,,,,12.9
Grade,13,,,,,,0
Median,13,,,,,,0
Offset,13,,,,,,0
TWLTL,13,,,,,,0
Crosswalk Width,13,,,,,,16
Mandatory Distance,13,,,,,,200
Mandatory Distance2,13,,,,,,1320
Positioning Distance,13,,,,,,880
Positioning Distance2,13,,,,,,1760
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,,,,,,false
Street Name Is Hidden,13,,,,,,false
Up ID,14,,2,,,,
Lanes,14,,1,,,,
Name,14,,Hickory Valley,,,,
Distance,14,,1108,,,,
Speed,14,,35,,,,
Time,14,,21.6,,,,
Grade,14,,0,,,,
Median,14,,12,,,,
Offset,14,,0,,,,
TWLTL,14,,0,,,,
Crosswalk Width,14,,16,,,,
Mandatory Distance,14,,200,,,,
Mandatory Distance2,14,,1539,,,,
Positioning Distance,14,,1026,,,,
Positioning Distance2,14,,2052,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,,false,,,,
Street Name Is Hidden,14,,false,,,,
Up ID,15,,,16,,,
Lanes,15,,,2,,,
Name,15,,,Shallowford Rd.,,,
Distance,15,,,1300,,,
Speed,15,,,40,,,
Time,15,,,22.2,,,
Grade,15,,,0,,,
Median,15,,,12,,,
Offset,15,,,0,,,
TWLTL,15,,,0,,,
Crosswalk Width,15,,,16,,,
Mandatory Distance,15,,,200,,,
Mandatory Distance2,15,,,1761,,,
Positioning Distance,15,,,1174,,,
Positioning Distance2,15,,,2348,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,,,false,,,
Street Name Is Hidden,15,,,false,,,
Up ID,16,18,17,19,15,,
Lanes,16,3,3,4,3,,
Name,16,Gunbarrel Road,Gunbarrel Road,Shallowford Rd.,Shallowford Rd.,,
Distance,16,492,813,512,1300,,
Speed,16,40,40,40,40,,
Time,16,8.4,13.9,8.7,22.2,,
Grade,16,0,0,0,0,,
Median,16,24,*12,12,12,,
Offset,16,0,0,0,0,,
TWLTL,16,1,0,1,0,,
Crosswalk Width,16,16,16,16,16,,
Mandatory Distance,16,416,416,416,416,,
Mandatory Distance2,16,1761,1761,1761,1761,,
Positioning Distance,16,1174,1174,1174,1174,,
Positioning Distance2,16,2348,2348,2348,2348,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,false,false,false,false,,
Street Name Is Hidden,16,false,false,true,false,,
Up ID,17,16,,,,,
Lanes,17,1,,,,,
Name,17,Gunbarrel Road,,,,,
Distance,17,813,,,,,
Speed,17,40,,,,,
Time,17,13.9,,,,,
Grade,17,0,,,,,
Median,17,12,,,,,
Offset,17,0,,,,,
TWLTL,17,0,,,,,
Crosswalk Width,17,16,,,,,
Mandatory Distance,17,200,,,,,
Mandatory Distance2,17,1761,,,,,
Positioning Distance,17,1174,,,,,
Positioning Distance2,17,2348,,,,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,,,,
Street Name Is Hidden,17,false,,,,,
Up ID,18,,16,,,,
Lanes,18,,*2,,,,
Name,18,,Gunbarrel Road,,,,
Distance,18,,492,,,,
Speed,18,,40,,,,
Time,18,,8.4,,,,
Grade,18,,0,,,,
Median,18,,12,,,,
Offset,18,,0,,,,
TWLTL,18,,1,,,,
Crosswalk Width,18,,16,,,,
Mandatory Distance,18,,200,,,,
Mandatory Distance2,18,,1761,,,,
Positioning Distance,18,,1174,,,,
Positioning Distance2,18,,2348,,,,
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,false,,,,
Street Name Is Hidden,18,,false,,,,
Up ID,19,21,20,22,16,,
Lanes,19,2,2,3,3,,
Name,19,Lifestyle Way,Lifestyle Way,Shallowford Rd.,Shallowford Rd.,,
Distance,19,350,388,808,512,,
Speed,19,15,25,40,40,,
Time,19,15.9,10.6,13.8,8.7,,
Grade,19,0,0,0,0,,
Median,19,*0,12,12,12,,
Offset,19,0,0,0,0,,
TWLTL,19,0,0,1,1,,
Crosswalk Width,19,16,16,16,16,,
Mandatory Distance,19,416,416,416,416,,
Mandatory Distance2,19,660,1101,1761,1761,,
Positioning Distance,19,440,734,1174,1174,,
Positioning Distance2,19,880,1468,2348,2348,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,false,false,false,,
Street Name Is Hidden,19,false,false,false,true,,
Up ID,20,19,,,,,
Lanes,20,1,,,,,
Name,20,Lifestyle Way,,,,,
Distance,20,388,,,,,
Speed,20,25,,,,,
Time,20,10.6,,,,,
Grade,20,0,,,,,
Median,20,12,,,,,
Offset,20,0,,,,,
TWLTL,20,0,,,,,
Crosswalk Width,20,16,,,,,
Mandatory Distance,20,200,,,,,
Mandatory Distance2,20,1101,,,,,
Positioning Distance,20,734,,,,,
Positioning Distance2,20,1468,,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,false,,,,,
Street Name Is Hidden,20,false,,,,,
Up ID,21,,19,,,,
Lanes,21,,1,,,,
Name,21,,Lifestyle Way,,,,
Distance,21,,350,,,,
Speed,21,,15,,,,
Time,21,,15.9,,,,
Grade,21,,0,,,,
Median,21,,0,,,,
Offset,21,,0,,,,
TWLTL,21,,0,,,,
Crosswalk Width,21,,16,,,,
Mandatory Distance,21,,200,,,,
Mandatory Distance2,21,,660,,,,
Positioning Distance,21,,440,,,,
Positioning Distance2,21,,880,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,,false,,,,
Street Name Is Hidden,21,,false,,,,
Up ID,22,24,23,11,19,,
Lanes,22,3,2,5,3,,
Name,22,Hamilton Place Blvd.,Napier Dr.,Shallowford Rd.,Shallowford Rd.,,
Distance,22,506,375,300,808,,
Speed,22,35,25,40,40,,
Time,22,9.9,10.2,5.1,13.8,,
Grade,22,0,0,0,0,,
Median,22,12,*0,12,12,,
Offset,22,0,0,0,0,,
TWLTL,22,0,0,0,1,,
Crosswalk Width,22,16,16,16,16,,
Mandatory Distance,22,416,416,416,416,,
Mandatory Distance2,22,1539,1101,1761,1761,,
Positioning Distance,22,1026,734,1174,1174,,
Positioning Distance2,22,2052,1468,2348,2348,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,false,false,false,false,,
Street Name Is Hidden,22,false,false,true,false,,
Up ID,23,22,,,,,
Lanes,23,1,,,,,
Name,23,Napier Dr.,,,,,
Distance,23,375,,,,,
Speed,23,25,,,,,
Time,23,10.2,,,,,
Grade,23,0,,,,,
Median,23,0,,,,,
Offset,23,0,,,,,
TWLTL,23,0,,,,,
Crosswalk Width,23,16,,,,,
Mandatory Distance,23,200,,,,,
Mandatory Distance2,23,1101,,,,,
Positioning Distance,23,734,,,,,
Positioning Distance2,23,1468,,,,,
