node_id,signal_phase_id,ring,barrier
39,2,1,1
39,4,1,2
39,5,2,1
39,6,2,1
39,7,2,2
39,8,2,2
75,2,1,1
75,4,1,2
75,5,2,1
75,6,2,1
75,7,2,2
75,8,2,2
78,1,1,1
78,2,1,1
78,6,2,1
78,8,2,2
80,1,1,1
80,2,1,1
80,6,2,1
80,8,2,2
82,2,1,1
82,4,1,2
82,6,2,1
82,8,2,2
84,1,1,1
84,2,1,1
84,4,1,2
84,5,2,1
84,6,2,1
84,8,2,2
87,2,1,1
87,4,1,2
87,5,2,1
87,6,2,1
87,7,2,2
87,8,2,2
98,2,1,1
98,4,1,2
98,5,2,1
98,6,2,1
98,8,2,2
