INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,,,,,,,,,,,,,,,,,,,
46,0,-368664,23175,0,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,-368839,22961,0,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,-355810,12263,0,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,-361610,16530,0,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,-361808,16306,0,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,-389323,42211,0,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,-389708,43054,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,-388740,43007,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Links],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW,,,,,,,,,,,,,,,,,,,,
Up ID,1,5,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Name,1,99th Ave,99th Ave,Grand Ave,Grand Ave,,,,,,,,,,,,,,,,,,,,,,,,
Distance,1,526,579,2966,739,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1,40,40,45,45,,,,,,,,,,,,,,,,,,,,,,,,
Time,1,9,9.9,44.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Median,1,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
Offset,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,1,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,1,583,583,583,583,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,1,1761,1761,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,1,1174,1174,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,1,2348,2348,2640,2640,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,1,-346781,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,1,9567,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Name,2,,,Grand Ave,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,2,,,739,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Time,2,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Median,2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,2,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,2,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,2,,,1320,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,2,,,880,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,2,,,1760,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,2,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,2,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,3,99th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,3,579,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,3,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,3,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,3,880,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,3,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,3,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,3,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,4,103rd Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,4,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,4,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,4,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,4,734,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,4,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,5,,99th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,5,,526,,,,,,,,,,,,,,,,,,,,,,,,,,
