[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-1350,-100,0,,,,,,
2,0,47,-90,0,,,,,,
3,0,1255,-86,0,,,,,,
4,0,3860,-70,0,,,,,,
99,2,-700,-95,0,,,,,,
101,1,-3971,-113,0,,,,,,
102,1,-1344,1227,0,,,,,,
103,1,-400,520,0,,,,,,
104,1,277,484,0,,,,,,
Positioning Distance,102,880,,,,,
Positioning Distance2,102,1760,,,,,
Curve Pt X,102,,,,,,
Curve Pt Y,102,,,,,,
Curve Pt Z,102,,,,,,
Link Is Hidden,102,false,,,,,
Street Name Is Hidden,102,false,,,,,
Up ID,103,,,,,2,
Lanes,103,,,,,0,
Name,103,,,,,I-17 SB Exit,
Distance,103,,,,,756,
Speed,103,,,,,30,
Time,103,,,,,17.2,
Grade,103,,,,,0,
Median,103,,,,,24,
Offset,103,,,,,0,
TWLTL,103,,,,,0,
Crosswalk Width,103,,,,,16,
Mandatory Distance,103,,,,,200,
Mandatory Distance2,103,,,,,1320,
Positioning Distance,103,,,,,880,
Positioning Distance2,103,,,,,1760,
Curve Pt X,103,,,,,,
Curve Pt Y,103,,,,,,
Curve Pt Z,103,,,,,,
Link Is Hidden,103,,,,,false,
Street Name Is Hidden,103,,,,,false,
Up ID,104,2,,,,,
Lanes,104,3,,,,,
Name,104,I-17 NB Ent,,,,,
Distance,104,618,,,,,
Speed,104,30,,,,,
Time,104,14.0,,,,,
Grade,104,0,,,,,
Median,104,0,,,,,
Offset,104,0,,,,,
TWLTL,104,0,,,,,
Crosswalk Width,104,16,,,,,
Mandatory Distance,104,200,,,,,
Mandatory Distance2,104,1320,,,,,
Positioning Distance,104,880,,,,,
Positioning Distance2,104,1760,,,,,
Curve Pt X,104,,,,,,
Curve Pt Y,104,,,,,,
Curve Pt Z,104,,,,,,
Link Is Hidden,104,false,,,,,
Street Name Is Hidden,104,false,,,,,
Up ID,105,3,,,,,
Lanes,105,1,,,,,
Name,105,23rd Ave,,,,,
Distance,105,650,,,,,
Speed,105,30,,,,,
Time,105,14.8,,,,,
Grade,105,0,,,,,
Median,105,12,,,,,
Offset,105,0,,,,,
TWLTL,105,0,,,,,
Crosswalk Width,105,16,,,,,
Mandatory Distance,105,200,,,,,
Mandatory Distance2,105,1320,,,,,
Positioning Distance,105,880,,,,,
Positioning Distance2,105,1760,,,,,
Curve Pt X,105,,,,,,
Curve Pt Y,105,,,,,,
Curve Pt Z,105,,,,,,
Link Is Hidden,105,false,,,,,
Street Name Is Hidden,105,false,,,,,
Up ID,106,4,,,,,
Lanes,106,3,,,,,
Name,106,19th Ave,,,,,
Distance,106,1301,,,,,
Speed,106,30,,,,,
Time,106,29.6,,,,,
Grade,106,0,,,,,
Median,106,12,,,,,
Offset,106,0,,,,,
TWLTL,106,0,,,,,
Crosswalk Width,106,16,,,,,
Mandatory Distance,106,200,,,,,
Mandatory Distance2,106,1320,,,,,
Positioning Distance,106,880,,,,,
Positioning Distance2,106,1760,,,,,
Curve Pt X,106,,,,,,
Curve Pt Y,106,,,,,,
Curve Pt Z,106,,,,,,
Link Is Hidden,106,false,,,,,
Street Name Is Hidden,106,false,,,,,
Up ID,107,,,4,,,
Lanes,107,,,3,,,
Name,107,,,Camelback Rd,,,
Distance,107,,,1290,,,
Speed,107,,,35,,,
Time,107,,,25.1,,,
Grade,107,,,0,,,
Median,107,,,12,,,
Offset,107,,,0,,,
TWLTL,107,,,0,,,
Crosswalk Width,107,,,16,,,
Mandatory Distance,107,,,200,,,
Mandatory Distance2,107,,,1539,,,
Positioning Distance,107,,,1026,,,
Positioning Distance2,107,,,2052,,,
Curve Pt X,107,,,,,,
Curve Pt Y,107,,,,,,
Curve Pt Z,107,,,,,,
Link Is Hidden,107,,,false,,,
Street Name Is Hidden,107,,,false,,,
Up ID,108,,4,,,,
Lanes,108,,2,,,,
Name,108,,19th Ave,,,,
Distance,108,,1279,,,,
Speed,108,,30,,,,
Time,108,,29.1,,,,
Grade,108,,0,,,,
Median,108,,24,,,,
Offset,108,,0,,,,
TWLTL,108,,0,,,,
Crosswalk Width,108,,16,,,,
Mandatory Distance,108,,200,,,,
Mandatory Distance2,108,,1320,,,,
Positioning Distance,108,,880,,,,
Positioning Distance2,108,,1760,,,,
Curve Pt X,108,,,,,,
Curve Pt Y,108,,,,,,
Curve Pt Z,108,,,,,,
Link Is Hidden,108,,false,,,,
Street Name Is Hidden,108,,false,,,,
Up ID,109,,3,,,,
Lanes,109,,1,,,,
Name,109,,23rd Ave,,,,
Distance,109,,628,,,,
Speed,109,,30,,,,
Time,109,,14.3,,,,
Grade,109,,0,,,,
Median,109,,12,,,,
Offset,109,,0,,,,
TWLTL,109,,0,,,,
Crosswalk Width,109,,16,,,,
Mandatory Distance,109,,200,,,,
Mandatory Distance2,109,,1320,,,,
Positioning Distance,109,,880,,,,
Positioning Distance2,109,,1760,,,,
Curve Pt X,109,,,,,,
Curve Pt Y,109,,,,,,
Curve Pt Z,109,,,,,,
Link Is Hidden,109,,false,,,,
Street Name Is Hidden,109,,false,,,,
Up ID,110,,2,,,,
Lanes,110,,0,,,,
Name,110,,I-17 NB Exit,,,,
Distance,110,,801,,,,
Speed,110,,30,,,,
Time,110,,18.2,,,,
Grade,110,,0,,,,
Median,110,,24,,,,
Offset,110,,0,,,,
TWLTL,110,,0,,,,
Crosswalk Width,110,,16,,,,
Mandatory Distance,110,,200,,,,
Mandatory Distance2,110,,1320,,,,
Positioning Distance,110,,880,,,,
Positioning Distance2,110,,1760,,,,
Curve Pt X,110,,,,,,
Curve Pt Y,110,,,,,,
Curve Pt Z,110,,,,,,
Link Is Hidden,110,,false,,,,
Street Name Is Hidden,110,,false,,,,
Up ID,111,,2,,,,
Lanes,111,,3,,,,
Name,111,,I-17 SB Ent,,,,
Distance,111,,676,,,,
Speed,111,,30,,,,
Time,111,,15.4,,,,
Grade,111,,0,,,,
Median,111,,0,,,,
Offset,111,,0,,,,
TWLTL,111,,0,,,,
Crosswalk Width,111,,16,,,,
Mandatory Distance,111,,200,,,,
Mandatory Distance2,111,,1320,,,,
Positioning Distance,111,,880,,,,
Positioning Distance2,111,,1760,,,,
Curve Pt X,111,,,,,,
Curve Pt Y,111,,,,,,
Curve Pt Z,111,,,,,,
Link Is Hidden,111,,false,,,,
Street Name Is Hidden,111,,false,,,,
Up ID,112,,1,,,,
Lanes,112,,2,,,,
Name,112,,27th Ave,,,,
Distance,112,,1850,,,,
Speed,112,,30,,,,
Time,112,,42.0,,,,
Grade,112,,0,,,,
Median,112,,12,,,,
Offset,112,,0,,,,
TWLTL,112,,0,,,,
Crosswalk Width,112,,16,,,,
Mandatory Distance,112,,200,,,,
Mandatory Distance2,112,,1320,,,,
Positioning Distance,112,,880,,,,
Positioning Distance2,112,,1760,,,,
Curve Pt X,112,,,,,,
Curve Pt Y,112,,,,,,
Curve Pt Z,112,,,,,,
Link Is Hidden,112,,false,,,,
Street Name Is Hidden,112,,false,,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NWL2,NWL,NWT,NWR,NWR2,SEL2,SEL,SET,SER,SER2,PED,HOLD
Up Node,1,,112,112,112,,,102,102,102,,,101,101,101,,,99,99,99,,,,,,,,,,,,,
Dest Node,1,,101,102,99,,,99,112,101,,,102,99,112,,,112,101,102,,,,,,,,,,,,,
Lanes,1,,1,3,0,,,1,2,0,,,1,2,0,,,1,3,0,,,,,,,,,,,,,
Shared,1,,0,2,,,,0,2,,,,0,2,,,,0,2,,,,,,,,,,,,,,
Width,1,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,
Storage,1,,150,,,,,160,,,,,200,,,,,190,,,,,,,,,,,,,,,
Taper,1,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,,,,,,
StLanes,1,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,
Grade,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1,,,30,,,,,30,,,,,40,,,,,40,,,,,,,,,,,,,,
Phase1,1,,7,4,,,,3,8,,,,1,6,,,,5,2,,,,,,,,,,,,,,
PermPhase1,1,,4,,,,,8,,,,,6,,,,,2,,,,,,,,,,,,,,,
LostTime,1,,4,5.3,4,,,4,5.3,4,,,4,5.4,4,,,4,5.4,4,,,,,,,,,,,,,
Lost Time Adjust,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,
IdealFlow,1,,1900,1900,1900,,,1900,1900,1900,,,1900,1900,1900,,,1900,1900,1900,,,,,,,,,,,,,
SatFlow,1,,1770,4806,0,,,1770,3497,0,,,1770,3522,0,,,1770,4968,0,,,,,,,,,,,,,
SatFlowPerm,1,,276,4806,0,,,581,3497,0,,,540,3522,0,,,117,4968,0,,,,,,,,,,,,,
Allow RTOR,1,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,,,,,,,,,,,
SatFlowRTOR,1,,0,93,0,,,0,7,0,,,0,3,0,,,0,35,0,,,,,,,,,,,,,
Volume,1,,45,275,160,,,210,730,65,,,65,1345,45,,,215,715,130,,,,,,,,,,,,,
Peds,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,
Bicycles,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,
PHF,1,,0.92,0.92,0.92,,,0.92,0.92,0.92,,,0.92,0.92,0.92,,,0.92,0.92,0.92,,,,,,,,,,,,,
Growth,1,,100,100,100,,,100,100,100,,,100,100,100,,,100,100,100,,,,,,,,,,,,,
HeavyVehicles,1,,2,2,2,,,2,2,2,,,2,2,2,,,2,2,2,,,,,,,,,,,,,
BusStops,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,
Midblock,1,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,
Distance,1,,,1850,,,,,1327,,,,,2621,,,,,650,,,,,,,,,,,,,,
TravelTime,1,,,42.0,,,,,30.2,,,,,44.7,,,,,11.1,,,,,,,,,,,,,,
Right Channeled,1,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,
Alignment,1,,0,0,3,,,0,0,1,,,0,0,1,,,0,0,1,,,,,,,,,,,,,
