Median,6,12,12,24,24
Offset,6,0,0,0,0
TWLTL,6,0,0,0,0
Crosswalk Width,6,16,16,16,16
Mandatory Distance,6,562,562,562,562
Mandatory Distance2,6,1980,1980,1761,1761
Positioning Distance,6,1320,1320,1174,1174
Positioning Distance2,6,2640,2640,2348,2348
Curve Pt X,6,,,,
Curve Pt Y,6,,,,
Curve Pt Z,6,,,,
Link Is Hidden,6,false,false,false,false
Street Name Is Hidden,6,false,false,true,false
Up ID,7,255,269,6,107
Lanes,7,3,0,5,6
Name,7,101 NB,101 NB,Union Hills Dr,Union Hills Dr
Distance,7,653,662,434,378
Speed,7,45,45,40,40
Time,7,9.9,10.0,7.4,6.4
Grade,7,0,0,0,0
Median,7,12,12,24,24
Offset,7,0,0,0,0
TWLTL,7,0,0,0,0
Crosswalk Width,7,16,16,16,16
Mandatory Distance,7,562,562,562,562
Mandatory Distance2,7,1980,1980,1761,1761
Positioning Distance,7,1320,1320,1174,1174
Positioning Distance2,7,2640,2640,2348,2348
Curve Pt X,7,,,,
Curve Pt Y,7,,,,
Curve Pt Z,7,,,,
Link Is Hidden,7,false,false,false,false
Street Name Is Hidden,7,false,false,false,false
Up ID,8,378,124,107,9
Lanes,8,3,3,4,3
Name,8,79th Ave.,79th Ave.,Union Hills Dr,Union Hills Dr
Distance,8,1495,904,411,2643
Speed,8,30,25,40,40
Time,8,34.0,24.7,7.0,45.1
Grade,8,0,0,0,0
Median,8,12,12,12,12
Offset,8,0,0,0,0
TWLTL,8,0,0,0,0
Crosswalk Width,8,16,16,16,16
Mandatory Distance,8,562,562,562,562
Mandatory Distance2,8,1320,1101,1761,1761
Positioning Distance,8,880,734,1174,1174
Positioning Distance2,8,1760,1468,2348,2348
Curve Pt X,8,2686,,,
Curve Pt Y,8,13013,,,
Curve Pt Z,8,0,,,
Link Is Hidden,8,false,false,false,false
Street Name Is Hidden,8,false,false,false,false
Up ID,9,4350,16,8,10
Lanes,9,3,3,3,3
Name,9,75th Ave,75th Ave,Union Hills Dr,Union Hills Dr
