[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,03/28/2016

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-1544,-368,0,,,,,,
2,3,11146,-2279,0,,,,,,
3,1,14398,-3558,0,,,,,,
4,0,486,-355,0,,,,,,
5,1,474,4198,0,,,,,,
6,1,502,-6778,0,,,,,,
7,0,3157,-357,0,,,,,,
8,1,3089,5033,0,,,,,,
9,1,3229,-5999,0,,,,,,
10,0,5850,-370,0,,,,,,
11,1,5778,4483,0,,,,,,
12,1,5865,-6188,0,,,,,,
13,0,7641,-354,0,,,,,,
14,1,7947,570,0,,,,,,
15,1,7275,-1746,0,,,,,,
16,0,9774,-399,0,,,,,,
17,1,9704,3353,0,,,,,,
18,0,10404,-922,0,,,,,,
19,1,12646,-521,0,,,,,,
20,0,12263,-2846,0,,,,,,
21,1,11169,-4823,0,,,,,,
22,0,5801,3004,0,,,,,,
23,1,4870,3648,0,,,,,,
24,1,7278,2367,0,,,,,,
25,0,5857,-5660,0,,,,,,
26,1,3975,-5670,0,,,,,,
27,1,6663,-5656,0,,,,,,
28,1,7411,554,0,,,,,,
29,1,7951,-1554,0,,,,,,
Positioning Distance2,6,,1760,,,,,,
Curve Pt X,6,,,,,,,,
Curve Pt Y,6,,,,,,,,
Curve Pt Z,6,,,,,,,,
Link Is Hidden,6,,false,,,,,,
Street Name Is Hidden,6,,false,,,,,,
Up ID,7,9,8,4,42,,,,
Lanes,7,3,3,4,3,,,,
Name,7,12th St,12th St,Glendale Ave,Glendale Ave,,,,
Distance,7,5642,5390,2671,2189,,,,
Speed,7,30,30,30,30,,,,
Time,7,128.2,122.5,60.7,49.8,,,,
Grade,7,0,0,0,0,,,,
Median,7,12,12,12,12,,,,
Offset,7,0,0,0,0,,,,
TWLTL,7,1,1,1,1,,,,
Crosswalk Width,7,16,16,16,16,,,,
Mandatory Distance,7,500,500,500,500,,,,
Mandatory Distance2,7,1320,1320,1320,1320,,,,
Positioning Distance,7,880,880,880,880,,,,
Positioning Distance2,7,1760,1760,1760,1760,,,,
Curve Pt X,7,,,,,,,,
Curve Pt Y,7,,,,,,,,
Curve Pt Z,7,,,,,,,,
Link Is Hidden,7,false,false,false,false,,,,
Street Name Is Hidden,7,false,false,false,false,,,,
Up ID,8,7,,,,,,,
Lanes,8,2,,,,,,,
Name,8,12th St,,,,,,,
Distance,8,5390,,,,,,,
Speed,8,30,,,,,,,
Time,8,122.5,,,,,,,
Grade,8,0,,,,,,,
Median,8,12,,,,,,,
Offset,8,0,,,,,,,
TWLTL,8,1,,,,,,,
Crosswalk Width,8,16,,,,,,,
Mandatory Distance,8,200,,,,,,,
Mandatory Distance2,8,1320,,,,,,,
Positioning Distance,8,880,,,,,,,
Positioning Distance2,8,1760,,,,,,,
Curve Pt X,8,,,,,,,,
Curve Pt Y,8,,,,,,,,
Curve Pt Z,8,,,,,,,,
Link Is Hidden,8,false,,,,,,,
Street Name Is Hidden,8,false,,,,,,,
Up ID,9,,7,,,,,,
Lanes,9,,2,,,,,,
Name,9,,12th St,,,,,,
Distance,9,,5642,,,,,,
Speed,9,,30,,,,,,
Time,9,,128.2,,,,,,
Grade,9,,0,,,,,,
Median,9,,12,,,,,,
Offset,9,,0,,,,,,
TWLTL,9,,1,,,,,,
Crosswalk Width,9,,16,,,,,,
Mandatory Distance,9,,200,,,,,,
Mandatory Distance2,9,,1320,,,,,,
Positioning Distance,9,,880,,,,,,
Positioning Distance2,9,,1760,,,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,,false,,,,,,
Street Name Is Hidden,9,,false,,,,,,
Up ID,10,25,22,42,39,,,,
Lanes,10,4,3,4,5,,,,
Name,10,16th St,16th St,Glendale Ave,Glendale Ave,,,,
Distance,10,5290,3374,504,1309,,,,
Speed,10,30,30,30,30,,,,
Time,10,120.2,76.7,11.5,29.8,,,,
Grade,10,0,0,0,0,,,,
Median,10,12,12,*12,*12,,,,
Offset,10,0,0,0,0,,,,
TWLTL,10,1,1,1,1,,,,
Crosswalk Width,10,16,16,16,16,,,,
Mandatory Distance,10,500,500,500,500,,,,
Mandatory Distance2,10,1320,1320,1320,1320,,,,
Positioning Distance,10,880,880,880,880,,,,
Positioning Distance2,10,1760,1760,1760,1760,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,false,false,false,false,,,,
Street Name Is Hidden,10,false,false,false,false,,,,
Up ID,11,22,,,,,,,
Lanes,11,3,,,,,,,
Name,11,16th St,,,,,,,
Distance,11,1479,,,,,,,
Speed,11,30,,,,,,,
Time,11,33.6,,,,,,,
Grade,11,0,,,,,,,
Median,11,12,,,,,,,
Offset,11,0,,,,,,,
TWLTL,11,1,,,,,,,
Crosswalk Width,11,16,,,,,,,
Mandatory Distance,11,200,,,,,,,
Mandatory Distance2,11,1320,,,,,,,
Positioning Distance,11,880,,,,,,,
Positioning Distance2,11,1760,,,,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,false,,,,,,,
Street Name Is Hidden,11,false,,,,,,,
Up ID,12,,25,,,,,,
Lanes,12,,2,,,,,,
Name,12,,16th St,,,,,,
Distance,12,,528,,,,,,
Speed,12,,30,,,,,,
Time,12,,12.0,,,,,,
Grade,12,,0,,,,,,
Median,12,,12,,,,,,
Offset,12,,0,,,,,,
TWLTL,12,,1,,,,,,
Crosswalk Width,12,,16,,,,,,
Mandatory Distance,12,,200,,,,,,
Mandatory Distance2,12,,1320,,,,,,
Positioning Distance,12,,880,,,,,,
Positioning Distance2,12,,1760,,,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,,false,,,,,,
Street Name Is Hidden,12,,false,,,,,,
Up ID,13,29,28,39,30,15,,,14
Lanes,13,3,3,5,5,0,,,0
Name,13,SR 51 NB Off-Ramp,SR 51 SB Off-Ramp,Glendale Ave,Glendale Ave,SR 51 SB On-Ramp,,,SR 51 NB On-Ramp
Distance,13,1239,937,482,852,1439,,,973
Speed,13,30,30,30,30,30,,,30
Time,13,28.2,21.3,11.0,19.4,32.7,,,22.1
Grade,13,0,0,0,0,0,,,0
Median,13,24,24,*36,24,0,,,0
Offset,13,0,0,0,0,0,,,0
TWLTL,13,0,0,0,0,0,,,0
Crosswalk Width,13,16,16,16,16,16,,,16
Mandatory Distance,13,500,500,500,500,500,,,500
Mandatory Distance2,13,1320,1320,1320,1320,1320,,,1320
Positioning Distance,13,880,880,880,880,880,,,880
Positioning Distance2,13,1760,1760,1760,1760,1760,,,1760
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,false,false,false,false,false,,,false
Street Name Is Hidden,13,false,false,false,false,false,,,false
Up ID,14,13,,,,,,,
Lanes,14,2,,,,,,,
Name,14,SR 51 NB On-Ramp,,,,,,,
Distance,14,973,,,,,,,
Speed,14,30,,,,,,,
Time,14,22.1,,,,,,,
Grade,14,0,,,,,,,
Median,14,0,,,,,,,
Offset,14,0,,,,,,,
TWLTL,14,0,,,,,,,
Crosswalk Width,14,16,,,,,,,
Mandatory Distance,14,200,,,,,,,
Mandatory Distance2,14,1320,,,,,,,
Positioning Distance,14,880,,,,,,,
Positioning Distance2,14,1760,,,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,false,,,,,,,
Street Name Is Hidden,14,false,,,,,,,
Up ID,15,,13,,,,,,
Lanes,15,,2,,,,,,
Name,15,,SR 51 SB On-Ramp,,,,,,
Distance,15,,1439,,,,,,
Speed,15,,30,,,,,,
Time,15,,32.7,,,,,,
Grade,15,,0,,,,,,
Median,15,,0,,,,,,
Offset,15,,0,,,,,,
TWLTL,15,,0,,,,,,
Crosswalk Width,15,,16,,,,,,
Mandatory Distance,15,,200,,,,,,
Mandatory Distance2,15,,1320,,,,,,
Positioning Distance,15,,880,,,,,,
Positioning Distance2,15,,1760,,,,,,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,false,,,,,,
Street Name Is Hidden,15,,false,,,,,,
Up ID,16,33,17,30,18,,,,
Lanes,16,1,2,3,4,,,,
Name,16,,N 22nd St,Lincoln Dr,Lincoln Dr,,,,
Distance,16,194,3753,1280,829,,,,
Speed,16,30,30,30,30,,,,
Time,16,4.4,85.3,29.1,18.8,,,,
Grade,16,0,0,0,0,,,,
Median,16,0,0,*12,*12,,,,
Offset,16,0,0,0,0,,,,
TWLTL,16,0,0,1,1,,,,
Crosswalk Width,16,16,16,16,16,,,,
Mandatory Distance,16,500,500,500,500,,,,
Mandatory Distance2,16,1320,1320,1320,1320,,,,
Positioning Distance,16,880,880,880,880,,,,
Positioning Distance2,16,1760,1760,1760,1760,,,,
Curve Pt X,16,,,9380,9997,,,,
Curve Pt Y,16,,,-316,-542,,,,
Curve Pt Z,16,,,0,0,,,,
Link Is Hidden,16,false,false,false,false,,,,
Street Name Is Hidden,16,false,false,false,false,,,,
Up ID,17,16,,,,,,,
Lanes,17,1,,,,,,,
Name,17,N 22nd St,,,,,,,
Distance,17,3753,,,,,,,
Speed,17,30,,,,,,,
Time,17,85.3,,,,,,,
Grade,17,0,,,,,,,
Median,17,0,,,,,,,
Offset,17,0,,,,,,,
TWLTL,17,0,,,,,,,
Crosswalk Width,17,16,,,,,,,
Mandatory Distance,17,200,,,,,,,
Mandatory Distance2,17,1320,,,,,,,
Positioning Distance,17,880,,,,,,,
Positioning Distance2,17,1760,,,,,,,
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,false,,,,,,,
Street Name Is Hidden,17,false,,,,,,,
Up ID,18,,19,16,2,,,,
Lanes,18,,2,3,3,,,,
Name,18,,E Squaw Peak Dr,Lincoln Dr,Lincoln Dr,,,,
Distance,18,,2345,829,1566,,,,
Speed,18,,30,30,30,,,,
Time,18,,53.3,18.8,35.6,,,,
Grade,18,,0,0,0,,,,
Median,18,,12,*12,*12,,,,
Offset,18,,0,0,0,,,,
TWLTL,18,,0,1,1,,,,
Crosswalk Width,18,,16,16,16,,,,
Mandatory Distance,18,,500,500,500,,,,
Mandatory Distance2,18,,1320,1320,1320,,,,
Positioning Distance,18,,880,880,880,,,,
Positioning Distance2,18,,1760,1760,1760,,,,
Curve Pt X,18,,10539,10197,10673,,,,
Curve Pt Y,18,,-740,-612,-1352,,,,
Curve Pt Z,18,,0,0,0,,,,
Link Is Hidden,18,,false,false,false,,,,
Street Name Is Hidden,18,,false,false,false,,,,
Up ID,19,,,,,18,,,
Lanes,19,,,,,1,,,
Name,19,,,,,E Squaw Peak Dr,,,
Distance,19,,,,,2345,,,
Speed,19,,,,,30,,,
Time,19,,,,,53.3,,,
Grade,19,,,,,0,,,
Median,19,,,,,0,,,
Offset,19,,,,,0,,,
TWLTL,19,,,,,0,,,
Crosswalk Width,19,,,,,16,,,
Mandatory Distance,19,,,,,200,,,
Mandatory Distance2,19,,,,,1320,,,
Positioning Distance,19,,,,,880,,,
Positioning Distance2,19,,,,,1760,,,
Curve Pt X,19,,,,,11691,,,
Curve Pt Y,19,,,,,-1248,,,
Curve Pt Z,19,,,,,0,,,
Link Is Hidden,19,,,,,false,,,
Street Name Is Hidden,19,,,,,false,,,
Up ID,20,21,36,37,35,,,,
Lanes,20,3,0,3,2,,,,
Name,20,N 24th St,24th St West,Lincoln Dr,Lincoln Dr a,,,,
Distance,20,2346,579,839,697,,,,
Speed,20,30,30,30,30,,,,
Time,20,53.3,13.2,19.1,15.8,,,,
Grade,20,0,0,0,0,,,,
Median,20,*24,0,24,*36,,,,
Offset,20,0,0,0,0,,,,
TWLTL,20,0,0,0,0,,,,
Crosswalk Width,20,16,16,16,16,,,,
Mandatory Distance,20,500,500,500,500,,,,
Mandatory Distance2,20,1320,1320,1320,1320,,,,
Positioning Distance,20,880,880,880,880,,,,
Positioning Distance2,20,1760,1760,1760,1760,,,,
Curve Pt X,20,11894,12369,,,,,,
Curve Pt Y,20,-3537,-2666,,,,,,
Curve Pt Z,20,0,0,,,,,,
Link Is Hidden,20,false,false,false,false,,,,
Street Name Is Hidden,20,false,false,false,false,,,,
Up ID,21,,20,,,,,,
Lanes,21,,2,,,,,,
Name,21,,N 24th St,,,,,,
Distance,21,,2346,,,,,,
Speed,21,,30,,,,,,
Time,21,,53.3,,,,,,
Grade,21,,0,,,,,,
Median,21,,0,,,,,,
Offset,21,,0,,,,,,
TWLTL,21,,0,,,,,,
Crosswalk Width,21,,16,,,,,,
Mandatory Distance,21,,200,,,,,,
