TWLTL,10,,0,,,,,,
Crosswalk Width,10,,16,,,,,,
Mandatory Distance,10,,200,,,,,,
Mandatory Distance2,10,,1320,,,,,,
Positioning Distance,10,,880,,,,,,
Positioning Distance2,10,,1760,,,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,,false,,,,,,
Street Name Is Hidden,10,,false,,,,,,
Up ID,11,14,12,25,7,,,,
Lanes,11,3,2,4,4,,,,
Name,11,111th Ave,111th Ave,Grand Ave,Grand Ave,,,,
Distance,11,401,533,1028,2820,,,,
Speed,11,35,30,45,45,,,,
Time,11,7.8,12.1,15.6,42.7,,,,
Grade,11,0,0,0,0,,,,
Median,11,12,12,12,12,,,,
Offset,11,0,0,0,0,,,,
TWLTL,11,1,0,0,0,,,,
Crosswalk Width,11,16,16,16,16,,,,
Mandatory Distance,11,583,583,583,583,,,,
Mandatory Distance2,11,1539,1320,1980,1980,,,,
Positioning Distance,11,1026,880,1320,1320,,,,
Positioning Distance2,11,2052,1760,2640,2640,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,false,false,false,false,,,,
Street Name Is Hidden,11,false,false,false,false,,,,
Up ID,12,11,,,,,,,
Lanes,12,2,,,,,,,
Name,12,111th Ave,,,,,,,
Distance,12,533,,,,,,,
Speed,12,30,,,,,,,
Time,12,12.1,,,,,,,
Grade,12,0,,,,,,,
Median,12,0,,,,,,,
Offset,12,0,,,,,,,
TWLTL,12,0,,,,,,,
Crosswalk Width,12,16,,,,,,,
Mandatory Distance,12,200,,,,,,,
Mandatory Distance2,12,1320,,,,,,,
Positioning Distance,12,880,,,,,,,
Positioning Distance2,12,1760,,,,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,false,,,,,,,
Street Name Is Hidden,12,false,,,,,,,
Up ID,13,,,,,16,18,49,15
Lanes,13,,,,,6,6,5,4
Name,13,,,,,Thunderbird Rd,Grand Ave,Grand Ave,Thompson Ranch Rd
Distance,13,,,,,538,914,2934,684
Speed,13,,,,,30,45,45,35
Time,13,,,,,12.2,13.8,44.5,13.3
Grade,13,,,,,0,0,0,0
Median,13,,,,,24,24,24,24
Offset,13,,,,,0,0,0,0
TWLTL,13,,,,,0,0,0,0
Crosswalk Width,13,,,,,16,16,16,16
Mandatory Distance,13,,,,,583,583,583,583
Mandatory Distance2,13,,,,,1320,1980,1980,1539
Positioning Distance,13,,,,,880,1320,1320,1026
