[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.10
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,09/13/2011

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,93545,-61878,0,,,,,,
2,0,89290,-57617,0,,,,,,
3,0,87004,-55281,0,,,,,,
4,0,83193,-51392,0,,,,,,
5,0,82339,-50510,0,,,,,,
6,0,77833,-46274,0,,,,,,
7,0,73946,-42309,0,,,,,,
8,0,72815,-41148,0,,,,,,
9,0,72422,-40744,0,,,,,,
10,0,71413,-39751,0,,,,,,
11,0,67344,-36917,0,,,,,,
12,0,65902,-36444,0,,,,,,
13,0,65607,-36340,0,,,,,,
21,1,96223,-64530,0,,,,,,
38,1,83189,-50450,0,,,,,,
39,1,83195,-52103,0,,,,,,
40,1,82892,-50165,0,,,,,,
41,2,79318,-47411,0,,,,,,
44,1,77233,-46264,0,,,,,,
45,1,78631,-46264,0,,,,,,
46,1,77831,-46939,0,,,,,,
47,1,77831,-45777,0,,,,,,
49,1,73465,-42788,0,,,,,,
50,1,74372,-41858,0,,,,,,
51,1,72462,-41471,0,,,,,,
52,1,73162,-40829,0,,,,,,
54,1,71059,-40110,0,,,,,,
55,1,71873,-41214,0,,,,,,
56,1,72948,-40264,0,,,,,,
57,1,67332,-36151,0,,,,,,
60,1,67327,-38661,0,,,,,,
63,1,65477,-37884,0,,,,,,
64,1,65497,-37870,0,,,,,,
82,1,92220,-61894,0,,,,,,
Mandatory Distance,5,437,437,,437,,,,
Mandatory Distance2,5,1056,1848,,1101,,,,
Positioning Distance,5,704,1232,,734,,,,
Positioning Distance2,5,1408,2464,,1468,,,,
Curve Pt X,5,,79338,,,,,,
Curve Pt Y,5,,-47834,,,,,,
Curve Pt Z,5,,0,,,,,,
Link Is Hidden,5,false,false,,false,,,,
Street Name Is Hidden,5,false,false,,false,,,,
Up ID,6,46,47,44,45,,41,7,
Lanes,6,3,3,1,1,,4,4,
Name,6,75th Avenue,75th Avenue,Olive Avenue,Olive Avenue,,Grand Avenue,Grand Avenue,
Distance,6,665,497,600,798,,1928,5552,
Speed,6,40,40,30,30,,25,24,
Time,6,11.3,8.5,13.6,18.1,,52.6,157.7,
Grade,6,0,0,0,0,,0,0,
Median,6,12,12,0,0,,24,24,
Offset,6,0,0,0,0,,0,0,
TWLTL,6,1,1,0,0,,0,0,
Crosswalk Width,6,16,16,16,16,,16,16,
Mandatory Distance,6,875,875,875,875,,875,875,
Mandatory Distance2,6,1761,1761,1320,1320,,1101,1056,
Positioning Distance,6,1174,1174,880,880,,734,704,
Positioning Distance2,6,2348,2348,1760,1760,,1468,1408,
Curve Pt X,6,,,,,,78409,,
Curve Pt Y,6,,,,,,-47145,,
Curve Pt Z,6,,,,,,0,,
Link Is Hidden,6,false,false,false,false,,false,false,
Street Name Is Hidden,6,false,false,false,false,,false,false,
Up ID,7,49,50,8,6,,,,
Lanes,7,5,5,6,6,,,,
Name,7,Cotton Crossing,Cotton Crossing,Grand Avenue,Grand Avenue,,,,
Distance,7,679,620,1621,5552,,,,
Speed,7,35,35,17,31,,,,
Time,7,13.2,12.1,65.0,122.1,,,,
Grade,7,0,0,0,0,,,,
Median,7,24,24,24,24,,,,
Offset,7,0,0,0,0,,,,
TWLTL,7,0,0,0,0,,,,
