INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
175,0,25421,8582,0,,,,,,
176,1,22599,10589,0,,,,,,
177,0,25423,7602,0,,,,,,
178,0,12214,5500,0,,,,,,
179,1,7121,1010,0,,,,,,
180,0,14860,5502,0,,,,,,
181,0,17110,5510,0,,,,,,
182,1,28677,10596,0,,,,,,
183,0,20139,5520,0,,,,,,
184,0,22780,5517,0,,,,,,
185,1,25633,8591,0,,,,,,
186,0,25426,5513,0,,,,,,
187,1,9973,-1115,0,,,,,,
188,0,28072,5534,0,,,,,,
189,1,6998,-674,0,,,,,,
190,1,12246,1223,0,,,,,,
191,0,30680,5553,0,,,,,,
192,1,28664,11265,0,,,,,,
193,0,20147,3369,0,,,,,,
194,1,11033,411,0,,,,,,
195,0,25429,4037,0,,,,,,
196,0,14881,2262,0,,,,,,
197,0,20156,2889,0,,,,,,
198,0,25438,2953,0,,,,,,
199,1,32640,310,0,,,,,,
200,1,22573,11096,0,,,,,,
201,3,16654,24835,0,,,,,,
202,0,6630,210,0,,,,,,
203,0,8747,217,0,,,,,,
204,0,9590,220,0,,,,,,
205,0,11000,223,0,,,,,,
206,0,12271,223,0,,,,,,
207,1,17116,5958,0,,,,,,
208,0,14919,223,0,,,,,,
209,0,17016,237,0,,,,,,
210,0,20150,244,0,,,,,,
211,1,25052,4044,0,,,,,,
212,1,25780,4030,0,,,,,,
213,0,22805,232,0,,,,,,
214,1,28077,5250,0,,,,,,
215,0,25462,232,0,,,,,,
216,0,26784,243,0,,,,,,
217,1,25084,7608,0,,,,,,
218,1,25699,7598,0,,,,,,
219,0,29490,270,0,,,,,,
220,0,30570,283,0,,,,,,
221,0,9578,-1118,0,,,,,,
222,0,20178,-2414,0,,,,,,
223,3,30757,10539,0,,,,,,
224,0,20826,30937,0,,,,,,
225,0,20763,35713,0,,,,,,
226,0,9590,-3020,0,,,,,,
227,1,20624,12548,0,,,,,,
228,0,8501,-5096,0,,,,,,
229,0,9606,-5090,0,,,,,,
230,1,22782,4623,0,,,,,,
231,0,12290,-5080,0,,,,,,
232,0,14936,-5072,0,,,,,,
233,1,22760,32134,0,,,,,,
234,1,19246,3347,0,,,,,,
235,1,21099,3376,0,,,,,,
236,0,20194,-5048,0,,,,,,
237,1,22798,604,0,,,,,,
238,1,22812,-145,0,,,,,,
239,1,22779,6080,0,,,,,,
240,0,25463,-5027,0,,,,,,
241,1,29477,-108,0,,,,,,
242,1,25111,8568,0,,,,,,
243,0,9611,-8230,0,,,,,,
244,0,29540,-4980,0,,,,,,
245,0,30810,-4970,0,,,,,,
246,0,7615,29636,0,,,,,,
247,0,14071,30026,0,,,,,,
248,0,20217,-7694,0,,,,,,
249,0,23467,29330,0,,,,,,
250,0,8900,10810,0,,,,,,
251,0,10270,13130,0,,,,,,
252,0,10070,11640,0,,,,,,
253,0,20240,-9030,0,,,,,,
254,3,31137,-4600,0,,,,,,
255,1,21143,-2405,0,,,,,,
256,1,30854,-5580,0,,,,,,
257,1,31131,-5574,0,,,,,,
258,1,8900,10681,0,,,,,,
259,1,6918,11019,0,,,,,,
260,1,19274,-2408,0,,,,,,
261,1,9615,-10763,0,,,,,,
262,1,25458,-6546,0,,,,,,
263,1,20259,-10367,0,,,,,,
264,3,5005,25673,0,,,,,,
265,1,19790,-7694,0,,,,,,
266,1,20721,-7694,0,,,,,,
267,1,19887,-9034,0,,,,,,
268,3,30815,-4522,0,,,,,,
269,1,14953,-7682,0,,,,,,
270,1,17101,1022,0,,,,,,
271,1,10118,13136,0,,,,,,
272,2,8468,-4599,0,,,,,,
273,1,8446,-5616,0,,,,,,
274,1,16862,10007,0,,,,,,
275,1,24704,24275,0,,,,,,
276,1,6709,-4394,0,,,,,,
277,1,6651,-5735,0,,,,,,
278,1,6828,16716,0,,,,,,
279,1,6964,-4459,0,,,,,,
280,3,30568,6439,0,,,,,,
281,1,20461,11276,0,,,,,,
282,2,31042,9871,0,,,,,,
283,2,31280,17530,0,,,,,,
284,1,11763,35021,0,,,,,,
285,1,7943,10392,0,,,,,,
286,2,12228,9093,0,,,,,,
287,1,11584,5497,0,,,,,,
288,1,33959,-4939,0,,,,,,
289,2,30811,-4673,0,,,,,,
290,2,25420,9198,0,,,,,,
291,1,6744,-716,0,,,,,,
292,1,27344,23605,0,,,,,,
293,2,26014,10384,0,,,,,,
294,2,9840,11336,0,,,,,,
295,2,7647,28324,0,,,,,,
296,1,3524,16100,0,,,,,,
297,1,3811,21407,0,,,,,,
298,1,7694,21441,0,,,,,,
299,1,5017,22704,0,,,,,,
300,1,3964,22529,0,,,,,,
301,1,8676,21022,0,,,,,,
302,1,19024,27207,0,,,,,,
303,0,31774,21405,0,,,,,,
304,1,6498,23663,0,,,,,,
305,1,7125,21414,0,,,,,,
306,0,10295,32734,0,,,,,,
307,2,11268,33977,0,,,,,,
308,2,31349,11762,0,,,,,,
309,1,15402,2265,0,,,,,,
310,1,29487,537,0,,,,,,
311,1,8014,-4194,0,,,,,,
312,1,12145,35553,0,,,,,,
313,1,13319,34690,0,,,,,,
314,1,15075,33439,0,,,,,,
315,1,6908,10588,0,,,,,,
316,1,8312,10338,0,,,,,,
317,3,19801,31812,0,,,,,,
318,1,7588,11395,0,,,,,,
319,2,18260,33308,0,,,,,,
320,2,17335,32940,0,,,,,,
321,2,31435,-4961,0,,,,,,
322,0,31774,29375,0,,,,,,
323,1,7945,11408,0,,,,,,
324,1,30912,9584,0,,,,,,
325,2,12857,14448,0,,,,,,
326,1,22100,34724,0,,,,,,
327,1,23377,34762,0,,,,,,
328,1,26017,35701,0,,,,,,
329,3,15744,32083,0,,,,,,
330,2,16419,31048,0,,,,,,
331,3,13733,31649,0,,,,,,
332,1,12894,31736,0,,,,,,
333,1,14654,31656,0,,,,,,
334,3,13755,32099,0,,,,,,
335,0,31774,16125,0,,,,,,
336,1,12743,32071,0,,,,,,
337,1,14497,31991,0,,,,,,
338,2,30530,-4972,0,,,,,,
339,1,9483,32328,0,,,,,,
340,0,10294,13945,0,,,,,,
341,0,16804,13285,0,,,,,,
342,0,20784,13245,0,,,,,,
343,1,10953,32090,0,,,,,,
344,0,26054,13275,0,,,,,,
345,1,12216,4925,0,,,,,,
346,1,11450,32272,0,,,,,,
347,1,9644,32965,0,,,,,,
348,1,10219,10677,0,,,,,,
349,1,19671,32914,0,,,,,,
350,2,19433,33887,0,,,,,,
351,1,20819,39455,0,,,,,,
352,1,23458,37362,0,,,,,,
353,1,33232,10899,0,,,,,,
354,1,12279,-5749,0,,,,,,
355,0,8307,10804,0,,,,,,
356,1,17339,37271,0,,,,,,
357,2,18146,35740,0,,,,,,
358,2,18896,34837,0,,,,,,
359,2,19264,34137,0,,,,,,
360,1,18183,40911,0,,,,,,
361,1,19055,39949,0,,,,,,
362,1,17418,39955,0,,,,,,
363,1,3996,18694,0,,,,,,
364,1,19468,26879,0,,,,,,
365,1,6820,15522,0,,,,,,
366,1,20807,8211,0,,,,,,
367,1,19277,8574,0,,,,,,
368,1,26907,30388,0,,,,,,
369,1,23457,30186,0,,,,,,
370,2,30448,7581,0,,,,,,
371,1,30689,7152,0,,,,,,
372,0,31141,10884,0,,,,,,
373,3,30464,4725,0,,,,,,
374,1,9902,11742,0,,,,,,
375,3,30873,4800,0,,,,,,
376,1,4662,27988,0,,,,,,
377,2,31088,7533,0,,,,,,
378,1,30878,7169,0,,,,,,
379,3,30544,859,0,,,,,,
380,1,30639,1210,0,,,,,,
381,3,30999,740,0,,,,,,
382,1,30877,1353,0,,,,,,
383,3,30640,-760,0,,,,,,
384,1,30749,-1116,0,,,,,,
385,1,30862,-1017,0,,,,,,
386,2,19473,31589,0,,,,,,
387,2,22305,32160,0,,,,,,
388,2,12992,15878,0,,,,,,
389,2,22298,31589,0,,,,,,
390,2,19465,32004,0,,,,,,
391,3,30664,5203,0,,,,,,
392,1,8743,-187,0,,,,,,
393,1,25121,32003,0,,,,,,
394,1,18599,27658,0,,,,,,
395,1,11655,26133,0,,,,,,
396,1,11637,27227,0,,,,,,
397,1,33952,16578,0,,,,,,
398,1,8560,35423,0,,,,,,
399,1,10266,34064,0,,,,,,
400,1,10257,36350,0,,,,,,
401,2,7772,210,0,,,,,,
402,0,7240,212,0,,,,,,
403,2,6278,205,0,,,,,,
404,1,18716,27960,0,,,,,,
405,2,31350,300,0,,,,,,
406,2,9594,669,0,,,,,,
407,1,18733,2874,0,,,,,,
408,1,20441,-9034,0,,,,,,
409,2,25425,5710,0,,,,,,
410,2,25430,5140,0,,,,,,
411,3,30704,6013,0,,,,,,
412,1,30671,4397,0,,,,,,
413,1,30585,4426,0,,,,,,
414,1,14839,10974,0,,,,,,
415,2,30363,10877,0,,,,,,
416,2,30900,11270,0,,,,,,
417,2,31350,10890,0,,,,,,
418,2,12853,11235,0,,,,,,
419,2,12849,10475,0,,,,,,
420,0,31000,290,0,,,,,,
421,2,20112,10620,0,,,,,,
422,2,25466,-206,0,,,,,,
423,2,20200,-5268,0,,,,,,
424,1,20964,12513,0,,,,,,
425,1,8862,-3046,0,,,,,,
426,3,31086,10340,0,,,,,,
427,1,20666,30925,0,,,,,,
428,1,6269,11063,0,,,,,,
429,2,30794,-4003,0,,,,,,
430,1,4379,20015,0,,,,,,
431,1,5416,20007,0,,,,,,
432,2,30663,9767,0,,,,,,
433,1,18101,11278,0,,,,,,
434,1,21323,2902,0,,,,,,
435,1,18101,10381,0,,,,,,
436,1,27458,2994,0,,,,,,
437,1,22656,2896,0,,,,,,
438,1,6969,1278,0,,,,,,
439,1,26750,1311,0,,,,,,
440,1,26820,-887,0,,,,,,
441,1,10975,80,0,,,,,,
442,1,19915,24333,0,,,,,,
443,1,19931,23645,0,,,,,,
444,1,6950,-5829,0,,,,,,
445,0,31140,-4967,0,,,,,,
446,1,25410,16901,0,,,,,,
447,1,25410,15349,0,,,,,,
448,1,30901,-3902,0,,,,,,
449,1,21524,30948,0,,,,,,
450,1,31013,-4000,0,,,,,,
451,1,17248,19629,0,,,,,,
452,1,16120,19645,0,,,,,,
453,1,8750,583,0,,,,,,
454,1,14107,29535,0,,,,,,
455,1,5238,30037,0,,,,,,
456,2,5000,20940,0,,,,,,
457,1,21094,25545,0,,,,,,
458,1,19598,6875,0,,,,,,
459,1,28702,30165,0,,,,,,
460,1,28732,28575,0,,,,,,
461,1,15141,32712,0,,,,,,
462,1,21449,35731,0,,,,,,
463,1,19909,35691,0,,,,,,
464,1,14937,31978,0,,,,,,
465,1,12408,34207,0,,,,,,
466,1,12170,33157,0,,,,,,
467,1,13636,33657,0,,,,,,
468,1,13176,32809,0,,,,,,
469,1,33749,24045,0,,,,,,
470,1,22790,31715,0,,,,,,
471,1,18654,32012,0,,,,,,
472,1,18624,31569,0,,,,,,
473,1,6376,18744,0,,,,,,
474,2,11409,34528,0,,,,,,
475,1,20544,6878,0,,,,,,
476,2,5970,16100,0,,,,,,
477,2,20155,1350,0,,,,,,
478,1,8861,18754,0,,,,,,
479,2,20160,2310,0,,,,,,
