mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,is_turn_bay_connector,control,turning_speed_mps
108_107_456_NBT,107,108_107_bay,107_456,thru,NBT,3,0.0,"0,1,2","0,1,2",s,False,,26.8224
108_118_to_108_118_bay,108_118_bay_node,108_118,108_118_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
108_118_476_SBL,118,108_118_bay,118_476,left,SBL,1,122.0,3,1,l,False,,6.7056
108_118_744_SBT,118,108_118_bay,118_744,thru,SBT,2,337.0,"1,2","0,1",s,False,,26.8224
108_118_296_SBR,118,108_118_bay,118_296,right,SBR,1,75.0,0,0,r,False,,4.02336
109_104_to_109_104_bay,109_104_bay_node,109_104,109_104_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
109_104_7057_NBL,104,109_104_bay,104_7057,left,NBL,1,94.0,2,0,l,False,,6.7056
109_104_86_NBT,104,109_104_bay,104_86,thru,NBT,2,1198.0,"0,1","0,1",s,False,,26.8224
109_104_7251_NBR,104,109_104_bay,104_7251,right,NBR,1,37.0,0,0,r,False,,4.02336
109_105_to_109_105_bay,109_105_bay_node,109_105,109_105_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
109_105_7252_SBL,105,109_105_bay,105_7252,left,SBL,1,58.0,3,0,l,False,,6.7056
109_105_5243_SBT,105,109_105_bay,105_5243,thru,SBT,2,453.0,"1,2","0,1",s,False,,26.8224
109_105_5242_SBR,105,109_105_bay,105_5242,right,SBR,1,15.0,0,0,r,False,,4.02336
10_11_to_10_11_bay,10_11_bay_node,10_11,10_11_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
10_11_327_EBL,11,10_11_bay,11_327,left,EBL,1,0.0,2,0,l,False,,6.7056
10_11_12_EBT,11,10_11_bay,11_12,thru,EBT,2,0.0,"0,1","0,1",s,False,,26.8224
10_17_to_10_17_bay,10_17_bay_node,10_17,10_17_bay,thru,TURN_BAY_CONNECTOR,6,0.0,"0,0,1,2,2,2","0,1,2,3,4,5",s,True,free,
10_17_496_SBL,17,10_17_bay,17_496,left,SBL,2,320.0,"4,5","1,0",l,False,,6.7056
10_17_224_SBT,17,10_17_bay,17_224,thru,SBT,3,1316.0,"1,2,3","0,1,2",s,False,,26.8224
10_17_317_SBR,17,10_17_bay,17_317,right,SBR,1,492.0,0,0,r,False,,4.02336
10_7_to_10_7_bay,10_7_bay_node,10_7,10_7_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
10_7_484_NBL,7,10_7_bay,7_484,left,NBL,1,39.0,3,0,l,False,,6.7056
10_7_225_NBT,7,10_7_bay,7_225,thru,NBT,3,1211.0,"0,1,2","0,1,2",s,False,,26.8224
10_7_326_NBR,7,10_7_bay,7_326,right,NBR,1,26.0,0,0,r,False,,4.02336
10_9_to_10_9_bay,10_9_bay_node,10_9,10_9_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
10_9_349_WBL,9,10_9_bay,9_349,left,WBL,1,15.0,2,0,l,False,,6.7056
10_9_319_WBT,9,10_9_bay,9_319,thru,WBT,2,1191.0,"0,1","0,1",s,False,,26.8224
