RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Name,8,Mill Avenue,Mill Avenue,Washington St,Curry Rd,,,,
Distance,8,342,1187,647,1796,,,,
Speed,8,35,35,45,45,,,,
Time,8,6.7,23.1,9.8,27.2,,,,
Grade,8,0,0,0,0,,,,
Median,8,24,24,24,24,,,,
Offset,8,0,0,0,0,,,,
TWLTL,8,0,0,0,0,,,,
Crosswalk Width,8,16,16,16,16,,,,
Mandatory Distance,8,458,458,458,458,,,,
Mandatory Distance2,8,1539,1539,1980,1980,,,,
Positioning Distance,8,1026,1026,1320,1320,,,,
Positioning Distance2,8,2052,2052,2640,2640,,,,
Curve Pt X,8,,15509,15423,16211,,,,
Curve Pt Y,8,,32808,32310,32676,,,,
Curve Pt Z,8,,21606,21606,21606,,,,
Link Is Hidden,8,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,8,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,9,349,350,319,10,,,,
Lanes,9,3,3,4,3,,,,
Name,9,College,College,Curry Rd,Curry Rd,,,,
Distance,9,475,551,1192,1369,,,,
Speed,9,35,35,45,40,,,,
Time,9,9.3,10.7,18.1,23.3,,,,
Grade,9,0,0,0,0,,,,
Median,9,12,12,24,24,,,,
Offset,9,0,0,0,0,,,,
TWLTL,9,0,0,0,0,,,,
Crosswalk Width,9,16,16,16,16,,,,
Mandatory Distance,9,333,333,333,333,,,,
Mandatory Distance2,9,1539,1539,1980,1761,,,,
Positioning Distance,9,1026,1026,1320,1174,,,,
Positioning Distance2,9,2052,2052,2640,2348,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,9,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,10,17,7,9,11,,,,
Lanes,10,5,5,5,5,,,,
Name,10,Scottsdale Road,Scottsdale Road,Curry Rd,Curry Rd,,,,
Distance,10,1535,1364,1369,2556,,,,
Speed,10,40,40,40,40,,,,
Time,10,26.2,23.3,23.3,43.6,,,,
Grade,10,0,0,0,0,,,,
Median,10,24,24,24,24,,,,
Offset,10,0,0,0,0,,,,
TWLTL,10,0,0,0,0,,,,
Crosswalk Width,10,16,16,16,16,,,,
Mandatory Distance,10,458,458,458,458,,,,
Mandatory Distance2,10,1761,1761,1761,1761,,,,
Positioning Distance,10,1174,1174,1174,1174,,,,
Positioning Distance2,10,2348,2348,2348,2348,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,10,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,11,173,327,10,12,,,,
Lanes,11,2,2,3,3,,,,
Name,11,,Miller,Curry Rd,Curry Rd,,,,
Distance,11,621,1349,2556,2575,,,,
Speed,11,30,30,40,40,,,,
Time,11,14.1,30.7,43.6,43.9,,,,
Grade,11,0,0,0,0,,,,
Median,11,12,12,24,24,,,,
Offset,11,0,0,0,0,,,,
TWLTL,11,0,0,0,0,,,,
Crosswalk Width,11,16,16,16,16,,,,
Mandatory Distance,11,291,291,291,291,,,,
Mandatory Distance2,11,1320,1320,1761,1761,,,,
Positioning Distance,11,880,880,1174,1174,,,,
Positioning Distance2,11,1760,1760,2348,2348,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,11,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,12,19,328,11,,,,,
Lanes,12,4,3,3,,,,,
Name,12,McClintock Drive,McClintock Drive,Curry Rd,,,,,
Distance,12,1329,2314,2575,,,,,
Speed,12,45,45,40,,,,,
Time,12,20.1,35.1,43.9,,,,,
Grade,12,0,0,0,,,,,
Median,12,12,12,24,,,,,
Offset,12,0,0,0,,,,,
TWLTL,12,0,0,0,,,,,
Crosswalk Width,12,16,16,16,,,,,
Mandatory Distance,12,458,458,458,,,,,
