RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,132,7028,7264,131,5248,,,,
Lanes,132,2,3,3,4,,,,
Name,132,Country Club Way,Country Club Way,Southern Ave,Southern Ave,,,,
Distance,132,1200,1200,1310,2140,,,,
Speed,132,30,30,40,40,,,,
Time,132,27.3,27.3,22.3,36.5,,,,
Grade,132,0,0,0,0,,,,
Median,132,12,12,12,12,,,,
Offset,132,0,0,0,0,,,,
TWLTL,132,0,0,0,0,,,,
Crosswalk Width,132,16,16,16,16,,,,
Mandatory Distance,132,458,458,458,458,,,,
Mandatory Distance2,132,1320,1320,1761,1761,,,,
Positioning Distance,132,880,880,1174,1174,,,,
Positioning Distance2,132,1760,1760,2348,2348,,,,
Curve Pt X,132,,,,,,,,
Curve Pt Y,132,,,,,,,,
Curve Pt Z,132,,,,,,,,
Link Is Hidden,132,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,132,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,133,308,136,,,,,,
Lanes,133,2,0,,,,,,
Name,133,Price Freeway NB,Price Freeway NB,,,,,,
Distance,133,925,1671,,,,,,
Speed,133,30,30,,,,,,
Time,133,21,38,,,,,,
Grade,133,0,0,,,,,,
Median,133,0,0,,,,,,
Offset,133,0,0,,,,,,
TWLTL,133,0,0,,,,,,
Crosswalk Width,133,16,16,,,,,,
Mandatory Distance,133,100,100,,,,,,
Mandatory Distance2,133,1320,1320,,,,,,
Positioning Distance,133,880,880,,,,,,
Positioning Distance2,133,1760,1760,,,,,,
Curve Pt X,133,,,,,,,,
Curve Pt Y,133,,,,,,,,
Curve Pt Z,133,,,,,,,,
Link Is Hidden,133,FALSE,FALSE,,,,,,
Street Name Is Hidden,133,FALSE,FALSE,,,,,,
Up ID,134,,,5293,73,,,5278,
Lanes,134,,,1,2,,,2,
Name,134,,,13th Street,Apache Boulevard,,,Apache Boulevard,
Distance,134,,,300,200,,,205,
Speed,134,,,30,35,,,35,
Time,134,,,6.8,3.9,,,4,
Grade,134,,,0,0,,,0,
Median,134,,,12,12,,,36,
Offset,134,,,0,0,,,0,
TWLTL,134,,,0,0,,,0,
Crosswalk Width,134,,,16,16,,,16,
Mandatory Distance,134,,,200,200,,,200,
Mandatory Distance2,134,,,1320,1539,,,1539,
Positioning Distance,134,,,880,1026,,,1026,
Positioning Distance2,134,,,1760,2052,,,2052,
Curve Pt X,134,,,,,,,,
Curve Pt Y,134,,,,,,,,
Curve Pt Z,134,,,,,,,,
Link Is Hidden,134,,,FALSE,FALSE,,,FALSE,
Street Name Is Hidden,134,,,FALSE,FALSE,,,FALSE,
Up ID,135,7027,5283,5249,335,,,,
Lanes,135,0,4,6,5,,,,
Name,135,Price Freeway SB,Price Freeway SB,Southern Ave,Southern Ave,,,,
Distance,135,1200,609,200,500,,,,
Speed,135,30,40,40,40,,,,
Time,135,27.3,10.4,3.4,8.5,,,,
Grade,135,0,0,0,0,,,,
Median,135,12,12,24,24,,,,
Offset,135,0,0,0,0,,,,
TWLTL,135,0,0,0,0,,,,
Crosswalk Width,135,16,16,16,16,,,,
Mandatory Distance,135,458,458,458,458,,,,
Mandatory Distance2,135,1320,1761,1761,1761,,,,
Positioning Distance,135,880,1174,1174,1174,,,,
Positioning Distance2,135,1760,2348,2348,2348,,,,
Curve Pt X,135,,,,,,,,
Curve Pt Y,135,,,,,,,,
Curve Pt Z,135,,,,,,,,
Link Is Hidden,135,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,135,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,136,133,137,,,,,,
Lanes,136,2,0,,,,,,
Name,136,Price Freeway NB,Price Freeway NB,,,,,,
Distance,136,1671,663,,,,,,
Speed,136,30,30,,,,,,
Time,136,38,15.1,,,,,,
Grade,136,0,0,,,,,,
Median,136,0,0,,,,,,
Offset,136,0,0,,,,,,
TWLTL,136,0,0,,,,,,
Crosswalk Width,136,16,16,,,,,,
Mandatory Distance,136,100,100,,,,,,
Mandatory Distance2,136,1320,1320,,,,,,
Positioning Distance,136,880,880,,,,,,
Positioning Distance2,136,1760,1760,,,,,,
Curve Pt X,136,,,,,,,,
Curve Pt Y,136,,,,,,,,
Curve Pt Z,136,,,,,,,,
Link Is Hidden,136,FALSE,FALSE,,,,,,
Street Name Is Hidden,136,FALSE,FALSE,,,,,,
Up ID,137,136,335,,,,,,
Lanes,137,2,0,,,,,,
Name,137,Price Freeway NB,Price Freeway NB,,,,,,
Distance,137,663,1175,,,,,,
Speed,137,30,30,,,,,,
Time,137,15.1,26.7,,,,,,
Grade,137,0,0,,,,,,
Median,137,12,12,,,,,,
Offset,137,0,0,,,,,,
TWLTL,137,0,0,,,,,,
Crosswalk Width,137,16,16,,,,,,
Mandatory Distance,137,100,100,,,,,,
Mandatory Distance2,137,1320,1320,,,,,,
Positioning Distance,137,880,880,,,,,,
Positioning Distance2,137,1760,1760,,,,,,
Curve Pt X,137,,,,,,,,
Curve Pt Y,137,,,,,,,,
Curve Pt Z,137,,,,,,,,
Link Is Hidden,137,FALSE,FALSE,,,,,,
Street Name Is Hidden,137,FALSE,FALSE,,,,,,
Up ID,138,15,397,5250,7025,,,,
Lanes,138,2,2,3,4,,,,
Name,138,Evergreen,Evergreen,Southern Ave,Southern Ave,,,,
Distance,138,450,453,1873,1027,,,,
Speed,138,30,30,40,40,,,,
Time,138,10.2,10.3,31.9,17.5,,,,
Grade,138,0,0,0,0,,,,
Median,138,12,12,12,12,,,,
Offset,138,0,0,0,0,,,,
TWLTL,138,0,0,0,0,,,,
Crosswalk Width,138,16,16,16,16,,,,
Mandatory Distance,138,391,391,391,391,,,,
Mandatory Distance2,138,1320,1320,1761,1761,,,,
Positioning Distance,138,880,880,1174,1174,,,,
Positioning Distance2,138,1760,1760,2348,2348,,,,
Curve Pt X,138,,,,,,,,
Curve Pt Y,138,,,,,,,,
Curve Pt Z,138,,,,,,,,
Link Is Hidden,138,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,138,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,139,5268,124,5267,7043,,,,
Lanes,139,3,3,2,2,,,,
Name,139,Mill Avenue,Mill Avenue,Hermosa Drive,Hermosa Drive,,,,
Distance,139,522,1700,292,648,,,,
Speed,139,30,30,30,30,,,,
Time,139,11.9,38.6,6.6,14.7,,,,
Grade,139,0,0,0,0,,,,
Median,139,24,24,12,12,,,,
Offset,139,0,0,0,0,,,,
TWLTL,139,0,0,0,0,,,,
Crosswalk Width,139,16,16,16,16,,,,
Mandatory Distance,139,458,458,458,458,,,,
Mandatory Distance2,139,1320,1320,1320,1320,,,,
Positioning Distance,139,880,880,880,880,,,,
Positioning Distance2,139,1760,1760,1760,1760,,,,
Curve Pt X,139,,,,,,,,
Curve Pt Y,139,,,,,,,,
Curve Pt Z,139,,,,,,,,
Link Is Hidden,139,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,139,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,140,340,5274,,7293,,,,
Lanes,140,3,5,,3,,,,
Name,140,Priest Drive,Priest Drive,,US 60 WB,,,,
Distance,140,420,260,,421,,,,
Speed,140,40,30,,30,,,,
Time,140,7.2,5.9,,9.6,,,,
Grade,140,0,0,,0,,,,
Median,140,0,0,,24,,,,
Offset,140,0,0,,0,,,,
TWLTL,140,0,0,,0,,,,
Crosswalk Width,140,16,16,,16,,,,
Mandatory Distance,140,458,458,,458,,,,
Mandatory Distance2,140,1761,1320,,1320,,,,
Positioning Distance,140,1174,880,,880,,,,
Positioning Distance2,140,2348,1760,,1760,,,,
Curve Pt X,140,,,,,,,,
Curve Pt Y,140,,,,,,,,
Curve Pt Z,140,,,,,,,,
Link Is Hidden,140,FALSE,FALSE,,FALSE,,,,
Street Name Is Hidden,140,FALSE,FALSE,,FALSE,,,,
Up ID,141,341,5268,7048,7044,,,,
Lanes,141,3,4,0,3,,,,
Name,141,Mill Avenue,Mill Avenue,US 60 WB,US 60 WB,,,,
Distance,141,340,278,806,806,,,,
Speed,141,30,30,30,30,,,,
Time,141,7.7,6.3,18.3,18.3,,,,
Grade,141,0,0,0,0,,,,
Median,141,12,12,12,12,,,,
Offset,141,0,0,0,0,,,,
TWLTL,141,0,0,0,0,,,,
Crosswalk Width,141,16,16,16,16,,,,
Mandatory Distance,141,458,458,458,458,,,,
Mandatory Distance2,141,1320,1320,1320,1320,,,,
Positioning Distance,141,880,880,880,880,,,,
Positioning Distance2,141,1760,1760,1760,1760,,,,
Curve Pt X,141,,,,,,,,
Curve Pt Y,141,,,,,,,,
Curve Pt Z,141,,,,,,,,
Link Is Hidden,141,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,141,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,142,342,5263,7041,7037,,,,
Lanes,142,5,5,0,3,,,,
Name,142,Rural Road,Rural Road,US 60 WB,US 60 WB,,,,
Distance,142,400,200,604,602,,,,
Speed,142,45,45,30,30,,,,
Time,142,6.1,3,13.7,13.7,,,,
Grade,142,0,0,0,0,,,,
Median,142,24,24,12,12,,,,
Offset,142,0,0,0,0,,,,
TWLTL,142,0,0,0,0,,,,
Crosswalk Width,142,16,16,16,16,,,,
Mandatory Distance,142,458,458,458,458,,,,
Mandatory Distance2,142,1980,1980,1320,1320,,,,
Positioning Distance,142,1320,1320,880,880,,,,
Positioning Distance2,142,2640,2640,1760,1760,,,,
Curve Pt X,142,,,,,,,,
Curve Pt Y,142,,,,,,,,
Curve Pt Z,142,,,,,,,,
Link Is Hidden,142,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,142,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,143,16,5202,5203,,,,,
Lanes,143,2,2,1,,,,,
Name,143,Rio Salado Parkway,Rio Salado Parkway,1st Street,,,,,
Distance,143,169,396,278,,,,,
Speed,143,30,30,30,,,,,
Time,143,3.8,9,6.3,,,,,
Grade,143,0,0,0,,,,,
Median,143,0,0,0,,,,,
Offset,143,0,0,0,,,,,
TWLTL,143,0,0,0,,,,,
Crosswalk Width,143,16,16,16,,,,,
Mandatory Distance,143,200,200,200,,,,,
Mandatory Distance2,143,1320,1320,1320,,,,,
Positioning Distance,143,880,880,880,,,,,
Positioning Distance2,143,1760,1760,1760,,,,,
Curve Pt X,143,,,,,,,,
Curve Pt Y,143,,,,,,,,
Curve Pt Z,143,,,,,,,,
Link Is Hidden,143,FALSE,FALSE,FALSE,,,,,
Street Name Is Hidden,143,FALSE,FALSE,FALSE,,,,,
Up ID,144,344,5261,7034,7030,,,,
Lanes,144,4,4,0,3,,,,
Name,144,McClintock Drive,McClintock Drive,US 60 WB,US 60 WB,,,,
Distance,144,400,418,603,602,,,,
Speed,144,40,40,30,30,,,,
Time,144,6.8,7.1,13.7,13.7,,,,
Grade,144,0,0,0,0,,,,
Median,144,24,24,12,12,,,,
Offset,144,0,0,0,0,,,,
TWLTL,144,0,0,0,0,,,,
Crosswalk Width,144,16,16,16,16,,,,
Mandatory Distance,144,458,458,458,458,,,,
Mandatory Distance2,144,1761,1761,1320,1320,,,,
Positioning Distance,144,1174,1174,880,880,,,,
Positioning Distance2,144,2348,2348,1760,1760,,,,
Curve Pt X,144,,,,,,,,
Curve Pt Y,144,,,,,,,,
Curve Pt Z,144,,,,,,,,
Link Is Hidden,144,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,144,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,145,,,191,,,,,
Lanes,145,,,2,,,,,
Name,145,,,Guadalupe,,,,,
Distance,145,,,2791,,,,,
Speed,145,,,45,,,,,
Time,145,,,42.3,,,,,
Grade,145,,,0,,,,,
Median,145,,,24,,,,,
Offset,145,,,0,,,,,
TWLTL,145,,,0,,,,,
Crosswalk Width,145,,,16,,,,,
Mandatory Distance,145,,,200,,,,,
Mandatory Distance2,145,,,1980,,,,,
Positioning Distance,145,,,1320,,,,,
Positioning Distance2,145,,,2640,,,,,
Curve Pt X,145,,,,,,,,
Curve Pt Y,145,,,,,,,,
Curve Pt Z,145,,,,,,,,
Link Is Hidden,145,,,FALSE,,,,,
Street Name Is Hidden,145,,,FALSE,,,,,
Up ID,146,,,,150,,,,
Lanes,146,,,,1,,,,
Name,146,,,,Minton,,,,
Distance,146,,,,331,,,,
Speed,146,,,,30,,,,
Time,146,,,,7.5,,,,
Grade,146,,,,0,,,,
Median,146,,,,12,,,,
Offset,146,,,,0,,,,
TWLTL,146,,,,0,,,,
Crosswalk Width,146,,,,16,,,,
Mandatory Distance,146,,,,200,,,,
Mandatory Distance2,146,,,,1320,,,,
Positioning Distance,146,,,,880,,,,
Positioning Distance2,146,,,,1760,,,,
Curve Pt X,146,,,,,,,,
Curve Pt Y,146,,,,,,,,
Curve Pt Z,146,,,,,,,,
Link Is Hidden,146,,,,FALSE,,,,
Street Name Is Hidden,146,,,,FALSE,,,,
Up ID,147,150,5264,227,424,,,,
Lanes,147,4,4,2,2,,,,
Name,147,Rural Road,Rural Road,Embassy Suites,Embassy Suites,,,,
Distance,147,1282,432,156,186,,,,
Speed,147,45,45,30,30,,,,
Time,147,19.4,6.5,3.5,4.2,,,,
Grade,147,0,0,0,0,,,,
Median,147,12,12,12,12,,,,
Offset,147,0,0,0,0,,,,
TWLTL,147,0,0,0,0,,,,
Crosswalk Width,147,16,16,16,16,,,,
Mandatory Distance,147,458,458,458,458,,,,
Mandatory Distance2,147,1980,1980,1320,1320,,,,
Positioning Distance,147,1320,1320,880,880,,,,
Positioning Distance2,147,2640,2640,1760,1760,,,,
Curve Pt X,147,20719,,,,,,,
Curve Pt Y,147,12113,,,,,,,
Curve Pt Z,147,8355,,,,,,,
Link Is Hidden,147,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,147,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,148,244,,,,,,,
Lanes,148,1,,,,,,,
Name,148,River Parkway,,,,,,,
Distance,148,309,,,,,,,
Speed,148,35,,,,,,,
Time,148,6,,,,,,,
Grade,148,0,,,,,,,
Median,148,0,,,,,,,
Offset,148,0,,,,,,,
TWLTL,148,0,,,,,,,
Crosswalk Width,148,16,,,,,,,
Mandatory Distance,148,200,,,,,,,
Mandatory Distance2,148,1539,,,,,,,
Positioning Distance,148,1026,,,,,,,
Positioning Distance2,148,2052,,,,,,,
Curve Pt X,148,,,,,,,,
Curve Pt Y,148,,,,,,,,
Curve Pt Z,148,,,,,,,,
Link Is Hidden,148,FALSE,,,,,,,
Street Name Is Hidden,148,FALSE,,,,,,,
Up ID,149,174,421,367,366,,,,
Lanes,149,3,3,3,2,,,,
Name,149,Rural Road,Rural Road,Southshore,Southshore,,,,
Distance,149,1682,2061,845,792,,,,
Speed,149,45,45,30,30,,,,
Time,149,25.5,31.2,19.2,18,,,,
Grade,149,0,0,0,0,,,,
Median,149,12,12,12,12,,,,
Offset,149,0,0,0,0,,,,
TWLTL,149,0,0,0,0,,,,
Crosswalk Width,149,16,16,16,16,,,,
Mandatory Distance,149,458,458,458,458,,,,
Mandatory Distance2,149,1980,1980,1320,1320,,,,
Positioning Distance,149,1320,1320,880,880,,,,
Positioning Distance2,149,2640,2640,1760,1760,,,,
Curve Pt X,149,,,,20425,,,,
Curve Pt Y,149,,,,8574,,,,
Curve Pt Z,149,,,,5706,,,,
Link Is Hidden,149,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,149,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,150,165,147,146,281,,,,
Lanes,150,4,4,2,2,,,,
Name,150,Rural Road,Rural Road,Minton,Minton,,,,
Distance,150,581,1282,331,274,,,,
Speed,150,45,45,30,30,,,,
Time,150,8.8,19.4,7.5,6.2,,,,
Grade,150,0,0,0,0,,,,
Median,150,24,24,12,12,,,,
Offset,150,0,0,0,0,,,,
TWLTL,150,0,0,0,0,,,,
Crosswalk Width,150,16,16,16,16,,,,
Mandatory Distance,150,458,458,458,458,,,,
Mandatory Distance2,150,1980,1980,1320,1320,,,,
Positioning Distance,150,1320,1320,880,880,,,,
Positioning Distance2,150,2640,2640,1760,1760,,,,
Curve Pt X,150,,20401,,,,,,
Curve Pt Y,150,,11772,,,,,,
Curve Pt Z,150,,0,,,,,,
Link Is Hidden,150,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,150,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,151,,223,,,,,,
Lanes,151,,1,,,,,,
Name,151,,,,,,,,
Distance,151,,1053,,,,,,
Speed,151,,30,,,,,,
Time,151,,23.9,,,,,,
Grade,151,,0,,,,,,
Median,151,,0,,,,,,
Offset,151,,0,,,,,,
TWLTL,151,,0,,,,,,
Crosswalk Width,151,,16,,,,,,
Mandatory Distance,151,,200,,,,,,
Mandatory Distance2,151,,1320,,,,,,
Positioning Distance,151,,880,,,,,,
Positioning Distance2,151,,1760,,,,,,
Curve Pt X,151,,,,,,,,
Curve Pt Y,151,,,,,,,,
Curve Pt Z,151,,,,,,,,
Link Is Hidden,151,,FALSE,,,,,,
Street Name Is Hidden,151,,FALSE,,,,,,
Up ID,152,,428,744,153,,,,
Lanes,152,,2,4,3,,,,
Name,152,,Calle Los Cerros,Baseline,Baseline,,,,
Distance,152,,276,1322,644,,,,
Speed,152,,30,45,45,,,,
Time,152,,6.3,20,9.8,,,,
Grade,152,,0,0,0,,,,
Median,152,,12,24,24,,,,
Offset,152,,0,0,0,,,,
TWLTL,152,,0,0,0,,,,
Crosswalk Width,152,,16,16,16,,,,
Mandatory Distance,152,,500,500,500,,,,
Mandatory Distance2,152,,1320,1980,1980,,,,
Positioning Distance,152,,880,1320,1320,,,,
Positioning Distance2,152,,1760,2640,2640,,,,
Curve Pt X,152,,,,,,,,
Curve Pt Y,152,,,,,,,,
Curve Pt Z,152,,,,,,,,
Link Is Hidden,152,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,152,,FALSE,FALSE,FALSE,,,,
Up ID,153,315,259,152,154,,,,
Lanes,153,2,2,5,6,,,,
Name,153,Point Pkwy,Point Pkwy,Baseline,Baseline,,,,
Distance,153,202,229,644,674,,,,
Speed,153,15,15,45,45,,,,
Time,153,9.2,10.4,9.8,10.2,,,,
Grade,153,0,0,0,0,,,,
Median,153,12,12,24,24,,,,
Offset,153,0,0,0,0,,,,
TWLTL,153,0,0,0,0,,,,
Crosswalk Width,153,16,16,16,16,,,,
Mandatory Distance,153,500,500,500,500,,,,
Mandatory Distance2,153,660,660,1980,1980,,,,
Positioning Distance,153,440,440,1320,1320,,,,
Positioning Distance2,153,880,880,2640,2640,,,,
Curve Pt X,153,,,,,,,,
Curve Pt Y,153,,,,,,,,
Curve Pt Z,153,,,,,,,,
Link Is Hidden,153,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,153,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,154,,318,153,155,,,,
Lanes,154,,3,4,3,,,,
Name,154,,Wendler,Baseline,Baseline,,,,
Distance,154,,593,674,356,,,,
Speed,154,,30,45,45,,,,
Time,154,,13.5,10.2,5.4,,,,
Grade,154,,0,0,0,,,,
Median,154,,24,24,24,,,,
Offset,154,,0,0,0,,,,
TWLTL,154,,0,0,0,,,,
Crosswalk Width,154,,16,16,16,,,,
Mandatory Distance,154,,500,500,500,,,,
Mandatory Distance2,154,,1320,1980,1980,,,,
Positioning Distance,154,,880,1320,1320,,,,
Positioning Distance2,154,,1760,2640,2640,,,,
Curve Pt X,154,,,,,,,,
Curve Pt Y,154,,,,,,,,
Curve Pt Z,154,,,,,,,,
Link Is Hidden,154,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,154,,FALSE,FALSE,FALSE,,,,
Up ID,155,285,323,154,355,,,,
Lanes,155,0,4,6,5,,,,
Name,155,I-10 EB on-ramp,I-10 EB on-ramp,Baseline,Baseline,,,,
Distance,155,423,593,356,363,,,,
Speed,155,35,35,45,45,,,,
Time,155,8.2,11.6,5.4,5.5,,,,
Grade,155,0,0,0,0,,,,
Median,155,24,24,24,24,,,,
Offset,155,0,0,0,0,,,,
TWLTL,155,0,0,0,0,,,,
Crosswalk Width,155,16,16,16,16,,,,
Mandatory Distance,155,500,500,500,500,,,,
Mandatory Distance2,155,1539,1539,1980,1980,,,,
Positioning Distance,155,1026,1026,1320,1320,,,,
Positioning Distance2,155,2052,2052,2640,2640,,,,
Curve Pt X,155,,,,,,,,
Curve Pt Y,155,,,,,,,,
Curve Pt Z,155,,,,,,,,
Link Is Hidden,155,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,155,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,156,501,294,250,157,,,,
Lanes,156,5,5,5,4,,,,
Name,156,Priest Drive,Priest Drive,Baseline,Baseline,,,,
Distance,156,481,606,705,614,,,,
Speed,156,40,30,45,45,,,,
Time,156,8.2,13.8,10.7,9.3,,,,
Grade,156,0,0,0,0,,,,
Median,156,24,24,24,24,,,,
Offset,156,0,0,0,0,,,,
TWLTL,156,0,0,0,0,,,,
Crosswalk Width,156,16,16,16,16,,,,
Mandatory Distance,156,500,500,500,500,,,,
Mandatory Distance2,156,1761,1320,1980,1980,,,,
Positioning Distance,156,1174,880,1320,1320,,,,
Positioning Distance2,156,2348,1760,2640,2640,,,,
Curve Pt X,156,,9592,,,,,,
Curve Pt Y,156,,10988,,,,,,
Curve Pt Z,156,,7196,,,,,,
Link Is Hidden,156,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,156,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,157,348,252,156,159,,,,
Lanes,157,2,3,4,4,,,,
Name,157,Darrow Dr,Darrow Dr,Baseline,Baseline,,,,
Distance,157,116,914,614,2638,,,,
Speed,157,35,35,45,45,,,,
Time,157,2.3,17.8,9.3,40,,,,
Grade,157,0,0,0,0,,,,
Median,157,12,12,12,12,,,,
Offset,157,0,0,0,0,,,,
TWLTL,157,0,0,0,0,,,,
Crosswalk Width,157,16,16,16,16,,,,
Mandatory Distance,157,500,500,500,500,,,,
Mandatory Distance2,157,1539,1539,1980,1980,,,,
Positioning Distance,157,1026,1026,1320,1320,,,,
Positioning Distance2,157,2052,2052,2640,2640,,,,
Curve Pt X,157,,10184,,,,,,
Curve Pt Y,157,,11048,,,,,,
Curve Pt Z,157,,7195,,,,,,
Link Is Hidden,157,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,157,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,158,426,372,,,,,,
Lanes,158,*2,0,,,,,,
Name,158,Price Freeway NB,Price Freeway NB,,,,,,
Distance,158,204,343,,,,,,
Speed,158,30,30,,,,,,
Time,158,4.6,7.8,,,,,,
Grade,158,0,0,,,,,,
Median,158,0,0,,,,,,
Offset,158,0,0,,,,,,
TWLTL,158,0,0,,,,,,
Crosswalk Width,158,16,16,,,,,,
Mandatory Distance,158,100,100,,,,,,
Mandatory Distance2,158,1320,1320,,,,,,
Positioning Distance,158,880,880,,,,,,
Positioning Distance2,158,1760,1760,,,,,,
Curve Pt X,158,,,,,,,,
Curve Pt Y,158,,,,,,,,
Curve Pt Z,158,,,,,,,,
Link Is Hidden,158,FALSE,FALSE,,,,,,
Street Name Is Hidden,158,FALSE,FALSE,,,,,,
Up ID,159,419,418,157,160,,,,
Lanes,159,3,3,4,4,,,,
Name,159,Hardy,Hardy,Baseline,Baseline,,,,
Distance,159,314,446,2638,1983,,,,
Speed,159,30,30,45,45,,,,
Time,159,7.1,10.1,40,30,,,,
Grade,159,0,0,0,0,,,,
Median,159,12,12,12,12,,,,
Offset,159,0,0,0,0,,,,
TWLTL,159,0,0,0,0,,,,
Crosswalk Width,159,16,16,16,16,,,,
Mandatory Distance,159,500,500,500,500,,,,
Mandatory Distance2,159,1320,1320,1980,1980,,,,
Positioning Distance,159,880,880,1320,1320,,,,
Positioning Distance2,159,1760,1760,2640,2640,,,,
Curve Pt X,159,,,,,,,,
Curve Pt Y,159,,,,,,,,
Curve Pt Z,159,,,,,,,,
Link Is Hidden,159,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,159,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,160,180,414,159,162,,,,
Lanes,160,4,2,4,5,,,,
Name,160,Kyrene,Kyrene,Baseline,Baseline,,,,
Distance,160,5288,184,1983,2010,,,,
Speed,160,45,30,45,45,,,,
Time,160,80.1,4.2,30,30.5,,,,
Grade,160,0,0,0,0,,,,
Median,160,12,12,24,24,,,,
Offset,160,0,0,0,0,,,,
TWLTL,160,0,0,0,0,,,,
Crosswalk Width,160,16,16,16,16,,,,
Mandatory Distance,160,500,500,500,500,,,,
Mandatory Distance2,160,1980,1320,1980,1980,,,,
Positioning Distance,160,1320,880,1320,1320,,,,
Positioning Distance2,160,2640,1760,2640,2640,,,,
Curve Pt X,160,,,,,,,,
Curve Pt Y,160,,,,,,,,
Curve Pt Z,160,,,,,,,,
Link Is Hidden,160,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,160,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,161,,,171,196,,,,
Lanes,161,,,2,2,,,,
Name,161,,,Grove Parkway,Grove Parkway,,,,
Distance,161,,,2547,2843,,,,
Speed,161,,,40,40,,,,
Time,161,,,43.4,48.5,,,,
Grade,161,,,0,0,,,,
Median,161,,,12,12,,,,
Offset,161,,,0,0,,,,
TWLTL,161,,,0,0,,,,
Crosswalk Width,161,,,16,16,,,,
Mandatory Distance,161,,,100,100,,,,
Mandatory Distance2,161,,,1761,1761,,,,
Positioning Distance,161,,,1174,1174,,,,
Positioning Distance2,161,,,2348,2348,,,,
Curve Pt X,161,,,11287,,,,,
Curve Pt Y,161,,,2141,,,,,
Curve Pt Z,161,,,1501,,,,,
Link Is Hidden,161,,,FALSE,FALSE,,,,
Street Name Is Hidden,161,,,FALSE,FALSE,,,,
Up ID,162,274,7046,160,163,,,,
Lanes,162,3,3,5,4,,,,
Name,162,Mill Avenue,Mill Avenue,Baseline,Baseline,,,,
Distance,162,793,504,2010,1251,,,,
Speed,162,30,30,45,45,,,,
Time,162,18,11.5,30.5,19,,,,
Grade,162,0,0,0,0,,,,
Median,162,12,12,24,24,,,,
Offset,162,0,0,0,0,,,,
TWLTL,162,0,0,0,0,,,,
Crosswalk Width,162,16,16,16,16,,,,
Mandatory Distance,162,500,500,500,500,,,,
Mandatory Distance2,162,1320,1320,1980,1980,,,,
Positioning Distance,162,880,880,1320,1320,,,,
Positioning Distance2,162,1760,1760,2640,2640,,,,
Curve Pt X,162,,,,,,,,
Curve Pt Y,162,,,,,,,,
Curve Pt Z,162,,,,,,,,
Link Is Hidden,162,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,162,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,163,435,433,162,165,,,,
Lanes,163,2,2,4,4,,,,
Name,163,College,College,Baseline,Baseline,,,,
Distance,163,427,470,1251,2010,,,,
Speed,163,30,30,45,45,,,,
Time,163,9.7,10.7,19,30.5,,,,
Grade,163,0,0,0,0,,,,
Median,163,12,12,24,24,,,,
Offset,163,0,0,0,0,,,,
TWLTL,163,0,0,0,0,,,,
Crosswalk Width,163,16,16,16,16,,,,
Mandatory Distance,163,458,458,458,458,,,,
Mandatory Distance2,163,1320,1320,1980,1980,,,,
Positioning Distance,163,880,880,1320,1320,,,,
Positioning Distance2,163,1760,1760,2640,2640,,,,
Curve Pt X,163,,,,,,,,
Curve Pt Y,163,,,,,,,,
Curve Pt Z,163,,,,,,,,
Link Is Hidden,163,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,163,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,164,188,,,,,,,
