link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
106_94_bay,106_94_bay_node,94,5,83.82,15.6464,"POLYGON ((-111.926237 33.406695, -111.926237 33.407451, -111.926434 33.407451, -111.926434 33.406695, -111.926237 33.406695))",106_94,True
107_108,107,107_108_bay_node,2,319.927579,20.1168,"POLYGON ((-111.978305 33.40361, -111.978317 33.400725, -111.978239 33.400725, -111.978226 33.40361, -111.978305 33.40361))",107_108,False
107_108_bay,107_108_bay_node,108,4,67.056,20.1168,"POLYGON ((-111.978357 33.400725, -111.978359 33.40012, -111.978202 33.40012, -111.978199 33.400724, -111.978357 33.400725))",107_108,True
107_430,107,430,1,187.707076,13.4112,"POLYGON ((-111.978266 33.403627, -111.980284 33.40364, -111.980284 33.403607, -111.978266 33.403594, -111.978266 33.403627))",107_430,False
107_431,107,431,1,128.285802,13.4112,"POLYGON ((-111.978266 33.403594, -111.976886 33.403586, -111.976886 33.403619, -111.978266 33.403627, -111.978266 33.403594))",107_431,False
107_456,107,456,3,283.383573,20.1168,"POLYGON ((-111.978207 33.40361, -111.978192 33.406166, -111.97831 33.406166, -111.978325 33.40361, -111.978207 33.40361))",107_456,False
108_107,108,108_107_bay_node,3,333.643579,20.1168,"POLYGON ((-111.978221 33.40012, -111.978209 33.403129, -111.978327 33.403129, -111.978339 33.40012, -111.978221 33.40012))",108_107,False
108_107_bay,108_107_bay_node,107,4,53.34,20.1168,"POLYGON ((-111.978189 33.403129, -111.978187 33.40361, -111.978344 33.40361, -111.978346 33.403129, -111.978189 33.403129))",108_107,True
108_118,108,108_118_bay_node,2,735.857857,20.1168,"POLYGON ((-111.97832 33.40012, -111.978346 33.393483, -111.978268 33.393483, -111.978241 33.40012, -111.97832 33.40012))",108_118,False
108_118_bay,108_118_bay_node,118,4,68.58,20.1168,"POLYGON ((-111.978386 33.393484, -111.978388 33.392865, -111.978231 33.392865, -111.978228 33.393483, -111.978386 33.393484))",108_118,True
108_363,108,363,1,303.205183,13.4112,"POLYGON ((-111.978281 33.400136, -111.981538 33.400009, -111.981536 33.399976, -111.978279 33.400103, -111.978281 33.400136))",108_363,False
108_473,108,473,2,422.328483,13.4112,"POLYGON ((-111.97828 33.400087, -111.973739 33.400099, -111.973739 33.400165, -111.978281 33.400153, -111.97828 33.400087))",108_473,False
109_104,109,109_104_bay_node,2,342.780481,17.8816,"POLYGON ((-111.960863 33.400139, -111.960864 33.40323, -111.960943 33.40323, -111.960942 33.400138, -111.960863 33.400139))",109_104,False
109_104_bay,109_104_bay_node,104,3,53.34,17.8816,"POLYGON ((-111.960844 33.40323, -111.960844 33.403711, -111.960962 33.403711, -111.960962 33.40323, -111.960844 33.40323))",109_104,True
