[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,374,975,0,,,,,,
2,1,1629,969,0,,,,,,
3,0,1001,972,0,,,,,,
4,1,990,-285,0,,,,,,
5,2,1013,2244,0,,,,,,
6,2,3408,8965,0,,,,,,
7,1,10366,8913,0,,,,,,
8,3,7477,8957,0,,,,,,
9,1,8840,7023,0,,,,,,
10,1,1648,10768,0,,,,,,
Positioning Distance,8,,,880,880,880,
Positioning Distance2,8,,,1760,1760,1760,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,,,false,false,false,
Street Name Is Hidden,8,,,false,false,false,
Up ID,9,,,,,,8
Lanes,9,,,,,,0
Name,9,,,,,,HWY 180
Distance,9,,,,,,2366
Speed,9,,,,,,30
Time,9,,,,,,53.8
Grade,9,,,,,,0
Median,9,,,,,,0
Offset,9,,,,,,0
TWLTL,9,,,,,,0
Crosswalk Width,9,,,,,,16
Mandatory Distance,9,,,,,,200
Mandatory Distance2,9,,,,,,1320
Positioning Distance,9,,,,,,880
Positioning Distance2,9,,,,,,1760
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,,,,,,false
Street Name Is Hidden,9,,,,,,false
Up ID,10,,,,,12,
Lanes,10,,,,,2,
Name,10,,,,,Main St/ US HWY 191,
Distance,10,,,,,1953,
Speed,10,,,,,30,
Time,10,,,,,44.4,
Grade,10,,,,,0,
Median,10,,,,,12,
Offset,10,,,,,0,
