[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
Offset,11,0,0,0,0
TWLTL,11,0,0,0,0
Crosswalk Width,11,16,16,16,16
Mandatory Distance,11,268,268,268,268
Mandatory Distance2,11,1320,1320,1320,1320
Positioning Distance,11,880,880,880,880
Positioning Distance2,11,1760,1760,1760,1760
Curve Pt X,11,,2931,,
Curve Pt Y,11,,-2637,,
Curve Pt Z,11,,0,,
Link Is Hidden,11,false,false,false,false
Street Name Is Hidden,11,false,false,false,false
Up ID,12,,,,11
Lanes,12,,,,1
Name,12,,,,Mohave Rd
Distance,12,,,,627
Speed,12,,,,30
Time,12,,,,14.3
Grade,12,,,,0
Median,12,,,,12
Offset,12,,,,0
TWLTL,12,,,,0
Crosswalk Width,12,,,,16
Mandatory Distance,12,,,,200
Mandatory Distance2,12,,,,1320
Positioning Distance,12,,,,880
Positioning Distance2,12,,,,1760
Curve Pt X,12,,,,
Curve Pt Y,12,,,,
Curve Pt Z,12,,,,
Link Is Hidden,12,,,,false
Street Name Is Hidden,12,,,,false
Up ID,13,,,11,
Lanes,13,,,1,
Name,13,,,,
Distance,13,,,593,
Speed,13,,,30,
Time,13,,,13.5,
Grade,13,,,0,
Median,13,,,12,
Offset,13,,,0,
TWLTL,13,,,0,
Crosswalk Width,13,,,16,
Mandatory Distance,13,,,200,
Mandatory Distance2,13,,,1320,
Positioning Distance,13,,,880,
Positioning Distance2,13,,,1760,
Curve Pt X,13,,,,
Curve Pt Y,13,,,,
Curve Pt Z,13,,,,
Link Is Hidden,13,,,false,
Street Name Is Hidden,13,,,false,
Up ID,14,9,,,
Lanes,14,2,,,
Name,14,,,,
Distance,14,538,,,
Speed,14,30,,,
Time,14,12.2,,,
Grade,14,0,,,
Median,14,0,,,
Offset,14,0,,,
TWLTL,14,0,,,
Crosswalk Width,14,16,,,
Mandatory Distance,14,200,,,
Mandatory Distance2,14,1320,,,
Positioning Distance,14,880,,,
Positioning Distance2,14,1760,,,
Curve Pt X,14,,,,
Curve Pt Y,14,,,,
Curve Pt Z,14,,,,
Link Is Hidden,14,false,,,
Street Name Is Hidden,14,false,,,
Up ID,15,,9,,
Lanes,15,,1,,
Name,15,,Airport Rd,,
Distance,15,,306,,
