[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/14/2021
ScenarioTime,4:38 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,2,9431,9004,0,,,,,,
2,1,10105,8320,0,,,,,,
3,0,9838,8704,0,,,,,,
4,1,10068,8935,0,,,,,,
5,1,3344,11879,0,,,,,,
6,0,2868,11874,0,,,,,,
7,2,3115,10595,0,,,,,,
8,4,1728,15276,0,,,28,40,1,18
9,1,2706,11853,0,,,,,,
10,2,6363,8862,0,,,,,,
11,1,810,17137,0,,,,,,
12,1,1459,15139,0,,,,,,
13,0,2164,14404,0,,,,,,
14,1,2616,14648,0,,,,,,
Mandatory Distance,7,100,100,,,,,,
Mandatory Distance2,7,1320,1320,,,,,,
Positioning Distance,7,880,880,,,,,,
Positioning Distance2,7,1760,1760,,,,,,
Curve Pt X,7,3025,,,,,,,
Curve Pt Y,7,7845,,,,,,,
Curve Pt Z,7,0,,,,,,,
Link Is Hidden,7,false,false,,,,,,
Street Name Is Hidden,7,false,false,,,,,,
Up ID,8,13,17,12,16,,,,
Lanes,8,2,2,1,1,,,,
Name,8,,,,,,,,
Distance,8,975,747,302,264,,,,
Speed,8,30,30,30,30,,,,
Time,8,22.2,17.0,6.9,6.0,,,,
Grade,8,0,0,0,0,,,,
Median,8,12,12,0,0,,,,
Offset,8,0,0,0,0,,,,
TWLTL,8,0,0,0,0,,,,
Crosswalk Width,8,16,16,16,16,,,,
Mandatory Distance,8,200,200,200,200,,,,
Mandatory Distance2,8,1320,1320,1320,1320,,,,
Positioning Distance,8,880,880,880,880,,,,
Positioning Distance2,8,1760,1760,1760,1760,,,,
Curve Pt X,8,,,,,,,,
Curve Pt Y,8,,,,,,,,
Curve Pt Z,8,,,,,,,,
Link Is Hidden,8,false,false,false,false,,,,
Street Name Is Hidden,8,false,false,false,false,,,,
Up ID,9,,,,6,,,,
Lanes,9,,,,1,,,,
Name,9,,,,,,,,
Distance,9,,,,163,,,,
Speed,9,,,,30,,,,
Time,9,,,,3.7,,,,
Grade,9,,,,0,,,,
Median,9,,,,0,,,,
Offset,9,,,,0,,,,
TWLTL,9,,,,0,,,,
Crosswalk Width,9,,,,16,,,,
Mandatory Distance,9,,,,200,,,,
Mandatory Distance2,9,,,,1320,,,,
Positioning Distance,9,,,,880,,,,
Positioning Distance2,9,,,,1760,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,,,,false,,,,
Street Name Is Hidden,9,,,,false,,,,
Up ID,10,,,7,1,,,,
Lanes,10,,,2,2,,,,
Name,10,,,,,,,,
Distance,10,,,4921,3087,,,,
Speed,10,,,30,30,,,,
Time,10,,,111.8,70.2,,,,
Grade,10,,,0,0,,,,
Median,10,,,0,0,,,,
Offset,10,,,0,0,,,,
TWLTL,10,,,0,0,,,,
Crosswalk Width,10,,,16,16,,,,
Mandatory Distance,10,,,100,100,,,,
Mandatory Distance2,10,,,1320,1320,,,,
Positioning Distance,10,,,880,880,,,,
Positioning Distance2,10,,,1760,1760,,,,
Curve Pt X,10,,,4996,6597,,,,
Curve Pt Y,10,,,8101,8912,,,,
Curve Pt Z,10,,,0,0,,,,
Link Is Hidden,10,,,false,false,,,,
Street Name Is Hidden,10,,,false,false,,,,
Up ID,11,20,,,,,,,
Lanes,11,2,,,,,,,
Name,11,,,,,,,,
Distance,11,395,,,,,,,
Speed,11,30,,,,,,,
Time,11,9.0,,,,,,,
Grade,11,0,,,,,,,
Median,11,12,,,,,,,
Offset,11,0,,,,,,,
TWLTL,11,0,,,,,,,
Crosswalk Width,11,16,,,,,,,
Mandatory Distance,11,200,,,,,,,
Mandatory Distance2,11,1320,,,,,,,
Positioning Distance,11,880,,,,,,,
Positioning Distance2,11,1760,,,,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
