[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,7.0
DontWalk,14.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,02/24/2015
ScenarioTime,4:00 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
155,1,604964,952338,0,,,,,,
156,2,604884,937118,0,,,,,,
157,1,591509,938888,0,,,,,,
158,1,592597,926247,0,,,,,,
159,0,593890,928400,0,,,,,,
160,1,594597,929437,0,,,,,,
161,1,603591,960012,0,,,,,,
162,2,604071,958401,0,,,,,,
163,2,604457,958419,0,,,,,,
164,2,605147,958667,0,,,,,,
165,2,605507,958731,0,,,,,,
166,2,603591,959188,0,,,,,,
167,2,606752,958660,0,,,,,,
168,2,602300,949300,0,,,,,,
169,2,602296,950796,0,,,,,,
170,2,597367,931091,0,,,,,,
171,1,595016,931090,0,,,,,,
172,1,612001,939628,0,,,,,,
173,1,612001,939079,0,,,,,,
174,1,613138,936690,0,,,,,,
175,3,604847,932960,0,,,,,,
176,0,600880,940594,0,,,,,,
177,1,600902,938389,0,,,,,,
178,1,587757,930891,0,,,,,,
179,1,607678,965198,0,,,,,,
180,1,598260,938490,0,,,,,,
181,0,612934,952442,0,,,,,,
182,1,590682,981037,0,,,,,,
183,2,605484,936511,0,,,,,,
184,1,603291,948289,0,,,,,,
185,1,601311,948279,0,,,,,,
186,3,610266,947158,0,,,,,,
187,1,601491,949379,0,,,,,,
188,1,601501,949849,0,,,,,,
189,0,588975,933573,0,,,,,,
190,1,598411,950079,0,,,,,,
191,0,612785,936684,0,,,,,,
192,1,596221,950039,0,,,,,,
193,1,596211,949009,0,,,,,,
194,1,606152,981012,0,,,,,,
195,1,594691,948759,0,,,,,,
196,1,607618,975678,0,,,,,,
197,2,597024,949902,0,,,,,,
198,2,597214,950279,0,,,,,,
199,2,597430,950906,0,,,,,,
200,2,597442,951773,0,,,,,,
201,2,597325,952406,0,,,,,,
202,2,597055,953036,0,,,,,,
203,2,596980,953831,0,,,,,,
204,0,601999,939447,0,,,,,,
205,2,597151,955034,0,,,,,,
206,2,597553,955595,0,,,,,,
207,2,598207,957296,0,,,,,,
208,2,598024,957986,0,,,,,,
209,2,597748,958508,0,,,,,,
210,1,602984,973578,0,,,,,,
211,2,597685,960209,0,,,,,,
212,2,597400,960893,0,,,,,,
213,2,597034,961646,0,,,,,,
214,2,597037,963611,0,,,,,,
215,1,585069,975768,0,,,,,,
216,1,594237,949466,0,,,,,,
217,1,591890,933806,0,,,,,,
218,0,597096,981049,0,,,,,,
219,0,593079,928384,0,,,,,,
220,1,600977,960385,0,,,,,,
221,1,600985,959249,0,,,,,,
222,1,599666,960767,0,,,,,,
223,1,599666,959007,0,,,,,,
224,3,610194,936612,0,,,,,,
225,1,602320,964776,0,,,,,,
226,3,601890,971760,0,,,,,,
227,0,596460,933722,0,,,,,,
228,1,603112,966163,0,,,,,,
229,1,612990,958321,0,,,,,,
230,1,602846,968837,0,,,,,,
231,1,612738,931693,0,,,,,,
232,1,601768,967801,0,,,,,,
233,1,600354,964805,0,,,,,,
234,1,600340,965519,0,,,,,,
235,2,600246,972625,0,,,,,,
236,1,598362,964591,0,,,,,,
237,1,606864,933928,0,,,,,,
238,2,596354,999082,0,,,,,,
239,1,596927,944695,0,,,,,,
240,2,596291,973120,0,,,,,,
241,0,606310,959892,0,,,,,,
242,3,594388,970486,0,,,,,,
243,2,595780,975720,0,,,,,,
244,2,595260,933700,0,,,,,,
245,2,588814,975755,0,,,,,,
246,2,602247,938921,0,,,,,,
247,1,601287,971844,0,,,,,,
248,2,602299,4,4,,,,,,
249,1,613209,952444,0,,,,,,
250,2,606712,934669,0,,,,,,
251,1,592377,936136,0,,,,,,
252,2,602296,949920,0,,,,,,
253,2,596917,930301,0,,,,,,
254,1,605198,976098,0,,,,,,
