[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/19/2018
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-3975,1616,0,,,,,,
2,0,-2660,1620,0,,,,,,
3,0,-15,1608,0,,,,,,
4,0,705,1603,0,,,,,,
5,0,1320,1586,0,,,,,,
6,0,18,-997,0,,,,,,
7,0,835,-1,0,,,,,,
8,0,735,-989,0,,,,,,
9,0,1410,97,0,,,,,,
10,0,1475,-989,0,,,,,,
11,0,-27,-144,0,,,,,,
36,1,120,-146,0,,,,,,
901,1,-5250,1621,0,,,,,,
902,1,-3970,4166,0,,,,,,
903,1,-2680,4172,0,,,,,,
904,1,-70,4159,0,,,,,,
905,1,727,4159,0,,,,,,
906,1,1311,4159,0,,,,,,
907,1,2656,1571,0,,,,,,
908,1,-3955,324,0,,,,,,
909,1,-2632,-932,0,,,,,,
910,1,-2609,-999,0,,,,,,
911,1,-1254,62,0,,,,,,
912,1,-1654,-107,0,,,,,,
913,1,575,90,0,,,,,,
914,1,750,-182,0,,,,,,
Mandatory Distance,6,500,500,500,500,,
Mandatory Distance2,6,1539,1539,1320,1320,,
Positioning Distance,6,1026,1026,880,880,,
Positioning Distance2,6,2052,2052,1760,1760,,
Curve Pt X,6,,,,,,
Curve Pt Y,6,,,,,,
Curve Pt Z,6,,,,,,
Link Is Hidden,6,false,false,false,false,,
Street Name Is Hidden,6,false,false,false,false,,
Up ID,7,8,4,36,9,,
Lanes,7,0,3,2,1,,
Name,7,5th Avenue,5th Avenue,I-10 HOV,I-10 HOV,,
Distance,7,993,1609,730,583,,
Speed,7,35,30,40,30,,
Time,7,19.3,36.6,12.4,13.3,,
Grade,7,0,0,0,0,,
Median,7,12,12,0,0,,
Offset,7,0,0,0,0,,
TWLTL,7,0,0,0,0,,
Crosswalk Width,7,16,16,16,16,,
Mandatory Distance,7,250,250,250,250,,
Mandatory Distance2,7,1539,1320,1761,1320,,
Positioning Distance,7,1026,880,1174,880,,
Positioning Distance2,7,2052,1760,2348,1760,,
Curve Pt X,7,,,,,,
Curve Pt Y,7,,,,,,
Curve Pt Z,7,,,,,,
Link Is Hidden,7,false,false,false,false,,
Street Name Is Hidden,7,false,false,false,false,,
Up ID,8,917,7,6,10,,
Lanes,8,0,3,1,2,,
Name,8,5th Avenue,5th Avenue,Roosevelt Street,Roosevelt Street,,
Distance,8,1411,993,717,740,,
Speed,8,35,35,30,30,,
Time,8,27.5,19.3,16.3,16.8,,
Grade,8,0,0,0,0,,
Median,8,12,12,12,12,,
Offset,8,0,0,0,0,,
TWLTL,8,0,0,1,1,,
Crosswalk Width,8,16,16,16,16,,
Mandatory Distance,8,500,500,500,500,,
Mandatory Distance2,8,1539,1539,1320,1320,,
Positioning Distance,8,1026,1026,880,880,,
Positioning Distance2,8,2052,2052,1760,1760,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,false,false,false,false,,
Street Name Is Hidden,8,false,false,false,false,,
Up ID,9,10,5,7,,,
Lanes,9,3,0,1,,,
Name,9,3rd Avenue,3rd Avenue,I-10 HOV,,,
Distance,9,1088,1492,583,,,
Speed,9,35,30,35,,,
Time,9,21.2,33.9,11.4,,,
Grade,9,0,0,0,,,
Median,9,12,12,12,,,
Offset,9,0,0,0,,,
TWLTL,9,0,0,0,,,
