[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-7,-1094,0,,,,,,
2,1,2406,-1132,0,,,,,,
3,0,873,-1093,0,,,,,,
4,1,845,2,0,,,,,,
5,1,1123,-1992,0,,,,,,
6,0,1305,-1090,0,,,,,,
7,1,1038,11,0,,,,,,
8,1,1299,-1990,0,,,,,,
9,0,1660,-1089,0,,,,,,
Time,9,13.3,33.8,6.9,6.7
Grade,9,0,0,0,0
Median,9,12,12,24,24
Offset,9,0,0,0,0
TWLTL,9,0,0,0,0
Crosswalk Width,9,16,16,16,16
Mandatory Distance,9,500,500,500,500
Mandatory Distance2,9,2199,1101,1539,1539
Positioning Distance,9,1466,734,1026,1026
Positioning Distance2,9,2932,1468,2052,2052
Curve Pt X,9,1725,1609,,
Curve Pt Y,9,-1534,-666,,
Curve Pt Z,9,0,0,,
Link Is Hidden,9,false,false,false,false
Street Name Is Hidden,9,false,false,false,false
Up ID,10,9,,,
Lanes,10,*2,,,
Name,10,E Frontage Road,,,
Distance,10,1238,,,
Speed,10,25,,,
Time,10,33.8,,,
Grade,10,0,,,
Median,10,0,,,
Offset,10,0,,,
TWLTL,10,0,,,
Crosswalk Width,10,16,,,
Mandatory Distance,10,200,,,
Mandatory Distance2,10,1101,,,
Positioning Distance,10,734,,,
Positioning Distance2,10,1468,,,
Curve Pt X,10,1189,,,
Curve Pt Y,10,-786,,,
Curve Pt Z,10,0,,,
Link Is Hidden,10,false,,,
Street Name Is Hidden,10,false,,,
Up ID,11,,9,,
Lanes,11,,1,,
Name,11,,E Frontage Road,,
Distance,11,,975,,
Speed,11,,50,,
Time,11,,13.3,,
Grade,11,,0,,
Median,11,,12,,
Offset,11,,0,,
TWLTL,11,,0,,
Crosswalk Width,11,,16,,
Mandatory Distance,11,,200,,
Mandatory Distance2,11,,2199,,
Positioning Distance,11,,1466,,
Positioning Distance2,11,,2932,,
Curve Pt X,11,,1338,,
Curve Pt Y,11,,-1513,,
Curve Pt Z,11,,0,,
Link Is Hidden,11,,false,,
Street Name Is Hidden,11,,false,,
Up ID,12,,13,1,15
Lanes,12,,2,2,1
Name,12,,W Frontage Road,Ruby Road,Ruby  Road
Distance,12,,1120,490,199
Speed,12,,50,55,30
Time,12,,15.3,6.1,4.5
Grade,12,,0,0,0
Median,12,,12,12,12
Offset,12,,0,0,0
TWLTL,12,,0,0,0
Crosswalk Width,12,,16,16,16
Mandatory Distance,12,,200,200,200
Mandatory Distance2,12,,2199,2421,1320
Positioning Distance,12,,1466,1614,880
Positioning Distance2,12,,2932,3228,1760
Curve Pt X,12,,525,,
Curve Pt Y,12,,-769,,
Curve Pt Z,12,,0,,
Link Is Hidden,12,,false,false,false
Street Name Is Hidden,12,,false,false,false
Up ID,13,12,,,
Lanes,13,*1,,,
Name,13,W Frontage Road,,,
Distance,13,1120,,,
Speed,13,50,,,
Time,13,15.3,,,
Grade,13,0,,,
Median,13,0,,,
Offset,13,0,,,
TWLTL,13,0,,,
Crosswalk Width,13,16,,,
Mandatory Distance,13,200,,,
Mandatory Distance2,13,2199,,,
Positioning Distance,13,1466,,,
Positioning Distance2,13,2932,,,
Curve Pt X,13,672,,,
Curve Pt Y,13,-335,,,
Curve Pt Z,13,0,,,
Link Is Hidden,13,false,,,
Street Name Is Hidden,13,false,,,
Up ID,14,,17,9,2
Lanes,14,,2,2,2
Name,14,,,Ruby Road,Ruby Road
Distance,14,,172,342,406
Speed,14,,30,35,35
Time,14,,3.9,6.7,7.9
Grade,14,,0,0,0
Median,14,,12,24,24
Offset,14,,0,0,0
TWLTL,14,,0,0,0
Crosswalk Width,14,,16,16,16
Mandatory Distance,14,,200,200,200
Mandatory Distance2,14,,1320,1539,1539
Positioning Distance,14,,880,1026,1026
Positioning Distance2,14,,1760,2052,2052
Curve Pt X,14,,,,
Curve Pt Y,14,,,,
Curve Pt Z,14,,,,
Link Is Hidden,14,,false,false,false
Street Name Is Hidden,14,,false,false,false
Up ID,15,16,,12,3
Lanes,15,2,,2,2
Name,15,W Frontage Road,,Ruby  Road,Ruby Road
Distance,15,960,,199,191
Speed,15,50,,30,35
Time,15,13.1,,4.5,3.7
Grade,15,0,,0,0
Median,15,12,,12,12
Offset,15,0,,0,0
TWLTL,15,0,,0,0
Crosswalk Width,15,16,,16,16
Mandatory Distance,15,200,,200,200
Mandatory Distance2,15,2199,,1320,1539
Positioning Distance,15,1466,,880,1026
Positioning Distance2,15,2932,,1760,2052
Curve Pt X,15,693,,,
Curve Pt Y,15,-1420,,,
Curve Pt Z,15,0,,,
Link Is Hidden,15,false,,false,false
Street Name Is Hidden,15,false,,false,false
Up ID,16,,15,,
Lanes,16,,*1,,
Name,16,,W Frontage Road,,
Distance,16,,960,,
Speed,16,,50,,
Time,16,,13.1,,
Grade,16,,0,,
Median,16,,0,,
Offset,16,,0,,
TWLTL,16,,0,,
Crosswalk Width,16,,16,,
Mandatory Distance,16,,200,,
Mandatory Distance2,16,,2199,,
Positioning Distance,16,,1466,,
Positioning Distance2,16,,2932,,
Curve Pt X,16,,915,,
Curve Pt Y,16,,-1672,,
Curve Pt Z,16,,0,,
Link Is Hidden,16,,false,,
Street Name Is Hidden,16,,false,,
Up ID,17,14,,,
Lanes,17,1,,,
Name,17,,,,
Distance,17,172,,,
Speed,17,25,,,
Time,17,4.7,,,
Grade,17,0,,,
Median,17,0,,,
Offset,17,0,,,
TWLTL,17,0,,,
Crosswalk Width,17,16,,,
Mandatory Distance,17,200,,,
Mandatory Distance2,17,1101,,,
Positioning Distance,17,734,,,
Positioning Distance2,17,1468,,,
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,false,,,
Street Name Is Hidden,17,false,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,3,5,5,5,4,4,4,15,15,15,6,6,6,,
Dest Node,3,15,4,6,6,5,15,4,6,5,5,15,4,,
Lanes,3,0,0,0,1,1,1,0,2,1,2,1,0,,
Shared,3,0,0,,0,0,,0,0,,0,0,,,
Width,3,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,3,,,,,,,,,,105,,,,
Taper,3,,,,,,,,,,25,,,,
StLanes,3,,,,,,,,,,1,,,,
Grade,3,,,,,,,,,,,,,,
Speed,3,,30,,,75,,,35,,,35,,,
Phase1,3,,,,2,2,2,,4,,3,3,,,
Phase2,3,,,,,,,,,,,4,,,
PermPhase1,3,,,,,,,,,4,,,,,
LostTime,3,4,4,4,5.7,5.7,5.7,4,4.8,4.8,4.8,4.8,4,,
Lost Time Adjust,3,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,3,0,0,0,1583,1900,1553,0,3406,1599,3273,1845,0,,
SatFlowPerm,3,0,0,0,1583,1900,1553,0,3406,1599,3273,1845,0,,
Allow RTOR,3,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,3,0,0,0,0,0,216,0,0,374,0,0,0,,
Volume,3,0,0,0,160,2,199,0,212,344,324,264,0,,
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,3,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,3,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,3,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,3,2,2,2,14,0,4,2,6,1,7,3,2,,
BusStops,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,3,,0,,,0,,,0,,,0,,,
Distance,3,,936,,,1096,,,191,,,432,,,
TravelTime,3,,21.3,,,10.0,,,3.7,,,8.4,,,
Right Channeled,3,,,0,,,0,,,0,,,0,,
Alignment,3,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,3,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,3,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,3,,,,20,100,20,,100,20,20,100,,,
LastDetect,3,,,,0,0,0,,0,0,0,0,,,
DetectPhase1,3,,,,2,2,2,,4,4,3,3,,,
DetectPhase2,3,,,,0,0,0,,0,0,0,4,,,
DetectPhase3,3,,,,0,0,0,,0,0,0,0,,,
DetectPhase4,3,,,,0,0,0,,0,0,0,0,,,
SwitchPhase,3,,,,0,0,0,,0,0,0,0,,,
numDetects,3,,,,1,2,1,,2,1,1,2,,,
DetectPos1,3,,,,0,0,0,,0,0,0,0,,,
DetectSize1,3,,,,20,6,20,,6,20,20,6,,,
