[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
Mandatory Distance2,7,1320,1980,,1320
Positioning Distance,7,880,1320,,880
Positioning Distance2,7,1760,2640,,1760
Curve Pt X,7,,,,
Curve Pt Y,7,,,,
Curve Pt Z,7,,,,
Link Is Hidden,7,false,false,,false
Street Name Is Hidden,7,true,false,,false
Up ID,8,3,7,,22
Lanes,8,3,2,,1
Name,8,State Route 387,State Route 387,,Driveway B
Distance,8,407,356,,424
Speed,8,30,45,,30
Time,8,9.3,5.4,,9.6
Grade,8,0,0,,0
Median,8,12,12,,0
Offset,8,0,0,,0
TWLTL,8,0,0,,0
Crosswalk Width,8,16,16,,16
Mandatory Distance,8,200,200,,200
Mandatory Distance2,8,1320,1980,,1320
Positioning Distance,8,880,1320,,880
Positioning Distance2,8,1760,2640,,1760
Curve Pt X,8,,,,
Curve Pt Y,8,,,,
Curve Pt Z,8,,,,
Link Is Hidden,8,false,false,,false
Street Name Is Hidden,8,true,true,,false
Up ID,9,,25,3,10
Lanes,9,,1,1,2
Name,9,,Driveway C,Val Vista Boulevard,Val Vista Boulevard
Distance,9,,478,695,685
Speed,9,,30,45,45
Time,9,,10.9,10.5,10.4
Grade,9,,0,0,0
Median,9,,0,12,12
Offset,9,,0,0,0
TWLTL,9,,0,0,0
Crosswalk Width,9,,16,16,16
Mandatory Distance,9,,200,200,200
Mandatory Distance2,9,,1320,1980,1980
Positioning Distance,9,,880,1320,1320
Positioning Distance2,9,,1760,2640,2640
Curve Pt X,9,,,,
