RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D14,D15,D16
VehExt,33,3,3,3,3,3,3,4,3,3,,,,,,
TimeBeforeReduce,33,0,0,0,0,0,0,0,0,0,,,,,,
TimeToReduce,33,0,0,0,0,0,0,0,0,0,,,,,,
MinGap,33,3,3,3,3,3,3,3,3,3,,,,,,
Yellow,33,4,3.6,4,3.9,4,3.6,3,3.9,4,,,,,,
AllRed,33,1,3,1,2.4,1,2.9,3.9,2.4,1,,,,,,
Recall,33,0,1,0,0,0,1,0,0,0,,,,,,
Walk,33,,4,,4,,4,,4,,,,,,,
DontWalk,33,,35,,31,,31,,33,,,,,,,
PedCalls,33,,0,,0,,0,,0,,,,,,,
MinSplit,33,9,45.6,9,41.3,9,41.5,12.9,43.3,9,,,,,,
DualEntry,33,0,1,0,1,0,1,1,1,1,,,,,,
InhibitMax,33,1,1,1,1,1,1,1,1,1,,,,,,
Start,33,92,9,43,55,92,9,43,63,75,,,,,,
End,33,9,43,55,92,9,43,63,75,92,,,,,,
Yield,33,4,36.4,50,85.7,4,36.5,56.1,68.7,87,,,,,,
Yield170,33,4,1.4,50,85.7,4,5.5,56.1,68.7,87,,,,,,
LocalStart,33,83,0,34,46,83,0,34,54,66,,,,,,
LocalYield,33,95,27.4,41,76.7,95,27.5,47.1,59.7,78,,,,,,
LocalYield170,33,95,92.4,41,76.7,95,96.5,47.1,59.7,78,,,,,,
ActGreen,33,11.7,35.3,4.2,25.9,6.7,40.4,9.3,7.6,6.3,,,,,,
