RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,11,,12,8,22,13,
Lanes,11,,0,3,4,4,
Name,11,,,Shallowford Rd.,Shallowford Rd.,I-75 NB Off Ramp,
Distance,11,,462,655,300,568,
Speed,11,,30,40,40,30,
Time,11,,10.5,11.2,5.1,12.9,
Grade,11,,0,0,0,0,
Median,11,,0,12,12,12,
Offset,11,,0,0,0,0,
TWLTL,11,,0,0,0,0,
Crosswalk Width,11,,16,16,16,16,
Mandatory Distance,11,,416,416,416,416,
Mandatory Distance2,11,,1320,1761,1761,1320,
Positioning Distance,11,,880,1174,1174,880,
Positioning Distance2,11,,1760,2348,2348,1760,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,,false,false,false,false,
Street Name Is Hidden,11,,false,true,true,false,
Up ID,12,11,,,,,
Lanes,12,*2,,,,,
Name,12,,,,,,
Distance,12,462,,,,,
Speed,12,30,,,,,
Time,12,10.5,,,,,
Grade,12,0,,,,,
Median,12,0,,,,,
Offset,12,0,,,,,
TWLTL,12,0,,,,,
Crosswalk Width,12,16,,,,,
Mandatory Distance,12,200,,,,,
Mandatory Distance2,12,1320,,,,,
Positioning Distance,12,880,,,,,
Positioning Distance2,12,1760,,,,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,,,,,
Street Name Is Hidden,12,false,,,,,
Up ID,13,,,,,,11
Lanes,13,,,,,,0
Name,13,,,,,,I-75 NB Off Ramp
Distance,13,,,,,,568
Speed,13,,,,,,30
Time,13,,,,,,12.9
Grade,13,,,,,,0
Median,13,,,,,,0
Offset,13,,,,,,0
TWLTL,13,,,,,,0
Crosswalk Width,13,,,,,,16
Mandatory Distance,13,,,,,,200
Mandatory Distance2,13,,,,,,1320
Positioning Distance,13,,,,,,880
Positioning Distance2,13,,,,,,1760
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,,,,,,false
Street Name Is Hidden,13,,,,,,false
