lane_id,link_id,lane_num,length_m,speed_mps,geometry,type,movement_name,mvmt_id,up_node,dest_node,volume,numDetects,is_turn_bay_lane,is_added_turn_bay_lane
77_75_0,77_75,0,64.021024,20.1168,"POLYGON ((-114.597389 35.017881, -114.59809 35.017884, -114.59809 35.017851, -114.597389 35.017848, -114.597389 35.017881))",thru,WBT,77_75_76_WBT,77,76,14.0,2,False,False
77_75_1,77_75,1,64.021024,20.1168,"POLYGON ((-114.597389 35.017848, -114.59809 35.017851, -114.59809 35.017818, -114.597389 35.017815, -114.597389 35.017848))",left,WBL,77_75_78_WBL,77,78,17.0,1,False,False
78_75_0,78_75,0,703.309206,20.1168,"POLYGON ((-114.59804 35.011513, -114.59803 35.017851, -114.59807 35.017851, -114.59808 35.011513, -114.59804 35.011513))",thru,NBT,78_75_39_NBT,78,39,649.0,2,False,False
78_75_1,78_75,1,703.309206,20.1168,"POLYGON ((-114.59808 35.011513, -114.59807 35.017851, -114.59811 35.017851, -114.59812 35.011513, -114.59808 35.011513))",thru,NBT,78_75_39_NBT,78,39,649.0,2,False,False
78_75_2,78_75,2,703.309206,20.1168,"POLYGON ((-114.59812 35.011513, -114.59811 35.017851, -114.59815 35.017851, -114.59816 35.011513, -114.59812 35.011513))",left,NBL,78_75_76_NBL,78,76,67.0,1,False,False
78_79_0,78_79,0,75.610464,20.1168,"POLYGON ((-114.5981 35.011496, -114.597272 35.011488, -114.597272 35.011521, -114.5981 35.011529, -114.5981 35.011496))",thru,,,78,,,,False,False
78_80_0,78_80,0,810.924662,20.1168,"POLYGON ((-114.59816 35.011513, -114.598173 35.004205, -114.598133 35.004205, -114.59812 35.011513, -114.59816 35.011513))",thru,SBT,78_80_82_SBT,78,82,712.0,2,False,False
78_80_1,78_80,1,810.924662,20.1168,"POLYGON ((-114.59812 35.011513, -114.598133 35.004205, -114.598093 35.004205, -114.59808 35.011513, -114.59812 35.011513))",thru,SBT,78_80_82_SBT,78,82,712.0,2,False,False
78_80_2,78_80,2,810.924662,20.1168,"POLYGON ((-114.59808 35.011513, -114.598093 35.004205, -114.598053 35.004205, -114.59804 35.011513, -114.59808 35.011513))",left,SBL,78_80_81_SBL,78,81,48.0,1,False,False
79_78_0,79_78,0,75.610464,20.1168,"POLYGON ((-114.597271 35.011537, -114.5981 35.011546, -114.5981 35.011513, -114.597272 35.011504, -114.597271 35.011537))",left,WBL,79_78_80_WBL,79,80,93.0,1,False,False
79_78_1,79_78,1,75.610464,20.1168,"POLYGON ((-114.597272 35.011504, -114.5981 35.011513, -114.598101 35.01148, -114.597272 35.011471, -114.597272 35.011504))",left,WBL,79_78_80_WBL,79,80,93.0,1,False,False
80_78_0,80_78,0,810.924662,20.1168,"POLYGON ((-114.598053 35.004205, -114.59804 35.011513, -114.59808 35.011513, -114.598093 35.004205, -114.598053 35.004205))",thru,NBT,80_78_75_NBT,80,75,1536.0,2,False,False
80_78_1,80_78,1,810.924662,20.1168,"POLYGON ((-114.598093 35.004205, -114.59808 35.011513, -114.59812 35.011513, -114.598133 35.004205, -114.598093 35.004205))",thru,NBT,80_78_75_NBT,80,75,1536.0,2,False,False
80_78_2,80_78,2,810.924662,20.1168,"POLYGON ((-114.598133 35.004205, -114.59812 35.011513, -114.59816 35.011513, -114.598173 35.004205, -114.598133 35.004205))",thru,NBT,80_78_75_NBT,80,75,1536.0,2,False,False
80_81_0,80_81,0,86.623317,20.1168,"POLYGON ((-114.598114 35.004188, -114.597166 35.004163, -114.597164 35.004196, -114.598113 35.004221, -114.598114 35.004188))",thru,,,80,,,,False,False
80_82_0,80_82,0,810.923829,20.1168,"POLYGON ((-114.598173 35.004205, -114.598173 34.996896, -114.598133 34.996896, -114.598133 35.004205, -114.598173 35.004205))",thru,SBT,80_82_84_SBT,80,84,1074.0,2,False,False
80_82_1,80_82,1,810.923829,20.1168,"POLYGON ((-114.598133 35.004205, -114.598133 34.996896, -114.598093 34.996896, -114.598093 35.004205, -114.598133 35.004205))",thru,SBT,80_82_84_SBT,80,84,1074.0,2,False,False
80_82_2,80_82,2,810.923829,20.1168,"POLYGON ((-114.598093 35.004205, -114.598093 34.996896, -114.598053 34.996896, -114.598053 35.004205, -114.598093 35.004205))",left,SBL,80_82_83_SBL,80,83,72.0,1,False,False
81_80_0,81_80,0,86.623317,20.1168,"POLYGON ((-114.597164 35.004196, -114.598113 35.004221, -114.598114 35.004188, -114.597166 35.004163, -114.597164 35.004196))",left,WBL,81_80_82_WBL,81,82,27.0,1,False,False
82_80_0,82_80,0,810.923829,20.1168,"POLYGON ((-114.598073 34.996896, -114.598073 35.004205, -114.598113 35.004205, -114.598113 34.996896, -114.598073 34.996896))",thru,NBT,82_80_78_NBT,82,78,1063.0,2,False,False
82_80_1,82_80,1,810.923829,20.1168,"POLYGON ((-114.598113 34.996896, -114.598113 35.004205, -114.598153 35.004205, -114.598153 34.996896, -114.598113 34.996896))",thru,NBT,82_80_78_NBT,82,78,1063.0,2,False,False
82_83_0,82_83,0,114.932132,20.1168,"POLYGON ((-114.598113 34.99688, -114.596855 34.996883, -114.596855 34.996916, -114.598113 34.996913, -114.598113 34.99688))",thru,,,82,,,,False,False
82_84_0,82_84,0,1614.53314,20.1168,"POLYGON ((-114.598194 34.996897, -114.59822 34.982346, -114.59818 34.982346, -114.598153 34.996897, -114.598194 34.996897))",thru,SBT,82_84_98_SBT,82,98,544.0,2,False,False
82_84_1,82_84,1,1614.53314,20.1168,"POLYGON ((-114.598153 34.996897, -114.59818 34.982346, -114.59814 34.982346, -114.598113 34.996896, -114.598153 34.996897))",thru,SBT,82_84_98_SBT,82,98,544.0,2,False,False
82_84_2,82_84,2,1614.53314,20.1168,"POLYGON ((-114.598113 34.996896, -114.59814 34.982346, -114.5981 34.982346, -114.598073 34.996896, -114.598113 34.996896))",thru,SBT,82_84_98_SBT,82,98,544.0,2,False,False
82_84_3,82_84,3,1614.53314,20.1168,"POLYGON ((-114.598073 34.996896, -114.5981 34.982346, -114.59806 34.982346, -114.598033 34.996896, -114.598073 34.996896))",left,SBL,82_84_86_SBL,82,86,23.0,1,False,False
83_82_0,83_82,0,114.932132,20.1168,"POLYGON ((-114.596855 34.996916, -114.598113 34.996913, -114.598113 34.99688, -114.596855 34.996883, -114.596855 34.996916))",left,WBL,83_82_84_WBL,83,84,102.0,1,False,False
84_82_0,84_82,0,1614.53314,20.1168,"POLYGON ((-114.5981 34.982346, -114.598073 34.996896, -114.598113 34.996896, -114.59814 34.982346, -114.5981 34.982346))",thru,NBT,84_82_80_NBT,84,80,1402.0,2,False,False
84_82_1,84_82,1,1614.53314,20.1168,"POLYGON ((-114.59814 34.982346, -114.598113 34.996896, -114.598153 34.996897, -114.59818 34.982346, -114.59814 34.982346))",thru,NBT,84_82_80_NBT,84,80,1402.0,2,False,False
84_85_0,84_85,0,78.0438,20.1168,"POLYGON ((-114.59814 34.982379, -114.598995 34.982379, -114.598995 34.982346, -114.59814 34.982346, -114.59814 34.982379))",thru,,,84,,,,False,False
84_85_1,84_85,1,78.0438,20.1168,"POLYGON ((-114.59814 34.982346, -114.598995 34.982346, -114.598995 34.982313, -114.59814 34.982313, -114.59814 34.982346))",thru,,,84,,,,False,False
84_86_0,84_86,0,105.786424,20.1168,"POLYGON ((-114.59814 34.982297, -114.596982 34.982299, -114.596982 34.982332, -114.59814 34.98233, -114.59814 34.982297))",thru,,,84,,,,False,False
84_86_1,84_86,1,105.786424,20.1168,"POLYGON ((-114.59814 34.98233, -114.596982 34.982332, -114.596982 34.982365, -114.59814 34.982363, -114.59814 34.98233))",thru,,,84,,,,False,False
84_86_2,84_86,2,105.786424,20.1168,"POLYGON ((-114.59814 34.982363, -114.596982 34.982365, -114.596982 34.982398, -114.59814 34.982396, -114.59814 34.982363))",thru,,,84,,,,False,False
84_98_0,84_98,0,400.600989,20.1168,"POLYGON ((-114.5982 34.982347, -114.59824 34.978736, -114.5982 34.978736, -114.59816 34.982346, -114.5982 34.982347))",thru,SBT,84_98_87_SBT,84,87,558.0,2,False,False
84_98_1,84_98,1,400.600989,20.1168,"POLYGON ((-114.59816 34.982346, -114.5982 34.978736, -114.59816 34.978736, -114.59812 34.982346, -114.59816 34.982346))",thru,SBT,84_98_87_SBT,84,87,558.0,2,False,False
84_98_2,84_98,2,400.600989,20.1168,"POLYGON ((-114.59812 34.982346, -114.59816 34.978736, -114.59812 34.978736, -114.59808 34.982346, -114.59812 34.982346))",thru,SBT,84_98_87_SBT,84,87,558.0,2,False,False
85_84_0,85_84,0,78.0438,20.1168,"POLYGON ((-114.598995 34.982297, -114.59814 34.982297, -114.59814 34.98233, -114.598995 34.98233, -114.598995 34.982297))",thru,EBT,85_84_86_EBT,85,86,8.0,2,False,False
85_84_1,85_84,1,78.0438,20.1168,"POLYGON ((-114.598995 34.98233, -114.59814 34.98233, -114.59814 34.982363, -114.598995 34.982363, -114.598995 34.98233))",thru,EBT,85_84_86_EBT,85,86,8.0,2,False,False
