[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
285,1,-5139,-37364,0,,,,,,
287,3,16110,-27559,0,,,,,,
289,1,-10852,-38804,0,,,,,,
291,1,-10350,-39344,0,,,,,,
300,1,9039,16179,0,,,,,,
301,1,17037,-27165,0,,,,,,
303,1,11582,-20204,0,,,,,,
307,1,16594,16572,0,,,,,,
308,1,-1039,8237,0,,,,,,
309,1,10388,-26720,0,,,,,,
313,1,17427,-27155,0,,,,,,
314,2,356,10730,0,,,,,,
322,1,751,14124,0,,,,,,
327,1,9571,-24156,0,,,,,,
331,1,10139,-22777,0,,,,,,
336,1,11919,-23776,0,,,,,,
340,1,-5033,-23294,0,,,,,,
342,2,-5677,-26242,0,,,,,,
343,1,-4477,-26240,0,,,,,,
344,0,10852,-22778,0,,,,,,
345,2,11169,-23826,0,,,,,,
346,1,10852,-22315,0,,,,,,
347,2,-7670,-32435,0,,,,,,
349,2,-7910,-31821,0,,,,,,
350,1,5587,8963,0,,,,,,
351,1,-9105,-33261,0,,,,,,
352,1,-9105,-33830,0,,,,,,
353,2,4888,8963,0,,,,,,
354,1,-9481,-33159,0,,,,,,
355,1,-9481,-33867,0,,,,,,
356,2,21470,-33132,0,,,,,,
357,1,17450,-28626,0,,,,,,
358,1,4871,9530,0,,,,,,
359,1,4481,9180,0,,,,,,
361,1,21508,-34611,0,,,,,,
362,1,20179,-34589,0,,,,,,
363,0,5320,20050,0,,,,,,
364,1,21695,-33564,0,,,,,,
365,1,20516,-31939,0,,,,,,
366,2,21676,-32146,0,,,,,,
367,1,13900,-28662,0,,,,,,
368,1,18892,-30841,0,,,,,,
369,1,21331,-33136,0,,,,,,
370,1,18998,-30381,0,,,,,,
371,1,-7507,-29811,0,,,,,,
372,1,-6227,-29779,0,,,,,,
373,1,-5411,-29098,0,,,,,,
377,2,2171,10587,0,,,,,,
378,2,2309,12129,0,,,,,,
379,1,-10222,-34205,0,,,,,,
380,1,965,9123,0,,,,,,
382,1,4497,20055,0,,,,,,
386,1,-9134,-30303,0,,,,,,
387,1,-9124,-31443,0,,,,,,
388,2,287,12053,0,,,,,,
389,1,571,12627,0,,,,,,
390,2,-10228,-34328,0,,,,,,
750,0,21279,-35957,0,0750 is the ICONS #??Check for lane Accuracy,,,,,
775,0,21300,-34610,0,,,,,,
812,0,18590,-33304,0,,,,,,
825,0,21320,-31940,0,,,,,,
858,0,19009,-30651,0,,,,,,
899,0,16854,-28884,0,,,,,,
909,0,19326,-28029,0,0909,,,,,
912,0,18586,-28020,0,0912,,,,,
915,0,17801,-28011,0,0915,,,,,
918,0,17427,-28007,0,0918?,,,,,
919,0,17037,-28002,0,0919???,,,,,
921,0,16666,-27998,0,0921??,,,,,
937,0,18582,-27584,0,Int # is 0937?,,,,,
2000,2,15905,-33263,0,,,,,,
2050,0,15905,-30613,0,,,,,,
2062,1,13217,-30640,0,,,,,,
2100,0,15905,-27989,0,,,,,,
2109,0,13901,-28005,0,,,,,,
2124,0,15905,-27559,0,,,,,,
2125,0,15905,-26689,0,,,,,,
2137,0,13900,-26701,0,,,,,,
2200,1,15905,-22729,0,,,,,,
2206,0,14561,-22754,0,,,,,,
2212,3,13265,-22779,0,,,,,,
2306,1,14561,-17493,0,,,,,,
2312,1,13265,-17518,0,,,,,,
2324,1,10817,-17569,0,,,,,,
2900,1,15634,14042,0,,,,,,
2950,0,15630,16572,0,,,,,,
2975,0,15630,17972,0,,,,,,
3000,0,15630,18852,0,,,,,,
3001,0,15630,19272,0,check lane channel?,,,,,
3025,0,15630,19892,0,,,,,,
3050,0,15630,20632,0,,,,,,
3100,1,-1947,-38691,0,,,,,,
3300,1,10817,-28039,0,,,,,,
3325,0,10818,-26720,0,,,,,,
3350,0,10820,-25437,0,,,,,,
3375,0,10820,-24150,0,,,,,,
3425,0,10691,-21785,100,,,,,,
3450,0,10819,-20204,0,,,,,,
3618,1,6617,8262,0,,,,,,
3700,1,10590,13511,0,,,,,,
3725,1,10590,14791,0,,,,,,
3750,0,10590,16131,0,,,,,,
3775,0,10590,17461,0,,,,,,
3825,0,10590,20461,0,,,,,,
3924,1,5320,24050,0,,,,,,
3950,1,10590,26745,0,,,,,,
4212,1,-757,-28182,0,,,,,,
4300,0,5320,8242,0,,,,,,
4306,0,3992,8242,0,,,,,,
4312,0,2648,8242,0,,,,,,
4324,0,1272,8242,0,,,,,,
4325,0,5320,8963,0,,,,,,
4350,0,5320,9530,0,,,,,,
4362,0,2001,9421,0,,,,,,
4374,0,1205,9191,0,,,,,,
4399,0,282,12630,0,,,,,,
4400,0,5320,13511,0,,,,,,
4406,3,3989,13535,0,,,,,,
4412,0,2676,13558,0,,,,,,
4417,0,1877,13558,0,,,,,,
4419,0,1457,13558,0,,,,,,
4423,0,751,13558,0,,,,,,
4424,0,39,13558,0,,,,,,
4450,0,5320,16191,0,,,,,,
4550,0,5320,21391,0,,,,,,
4900,0,-5035,-38688,0,,,,,,
4912,0,-7718,-38728,0,,,,,,
4915,0,-5032,-37365,0,Check Lanes on Copper,,,,,
4919,3,-9173,-38763,0,,,,,,
4920,0,-9340,-38763,0,,,,,,
4921,3,-9515,-38763,0,,,,,,
4924,0,-10348,-38799,0,,,,,,
4936,0,-10333,-34330,0,,,,,,
5000,0,-5028,-33461,0,,,,,,
5012,0,-7670,-33461,0,,,,,,
5020,0,-9105,-33461,0,,,,,,
5021,0,-9481,-33461,0,,,,,,
5024,0,-10330,-33461,0,,,,,,
5025,0,-5027,-32263,0,,,,,,
5050,0,-5026,-30776,0,,,,,,
5052,3,-5657,-30794,0,,,,,,
5060,0,-7953,-30844,0,,,,,,
5063,0,-5033,-29774,0,,,,,,
5068,0,-5673,-29774,0,,,,,,
5070,0,-9130,-30820,0,,,,,,
5073,0,-7973,-29824,0,,,,,,
5074,0,-10290,-30840,0,,,,,,
5081,0,-5694,-29104,0,,,,,,
5087,0,-7993,-29144,0,,,,,,
5100,0,-5033,-28213,0,,,,,,
5106,0,-6240,-28240,0,,,,,,
5112,0,-7659,-28278,0,,,,,,
5119,3,-9323,-28322,0,,,,,,
5120,0,-9490,-28322,0,,,,,,
5121,3,-9665,-28322,0,,,,,,
5139,0,-5033,-26240,0,,,,,,
5300,0,-10313,-28348,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,356,812,212,,364,369,
Lanes,1,,1,4,4,,4,4,
Name,1,,,Bethany Home Rd,Bethany Home Rd,,,,
Distance,1,,178,2880,2426,,339,223,
Speed,1,,30,40,40,,30,30,
Time,1,,4.0,49.1,41.4,,7.7,5.1,
Grade,1,,0,0,0,,0,0,
Median,1,,0,12,12,,12,12,
Offset,1,,0,0,0,,0,0,
TWLTL,1,,0,1,1,,0,0,
Crosswalk Width,1,,16,16,16,,16,16,
Mandatory Distance,1,,308,308,308,,308,308,
Mandatory Distance2,1,,1320,1761,1761,,1320,1320,
Positioning Distance,1,,880,1174,1174,,880,880,
Positioning Distance2,1,,1760,2348,2348,,1760,1760,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,,false,false,false,,false,false,
Street Name Is Hidden,1,,false,false,false,,false,false,
Up ID,2,,812,,750,,,,
Lanes,2,,1,,2,,,,
Name,2,,55th Ave,,Missouri Ave,,,,
Distance,2,,2629,,2684,,,,
Speed,2,,35,,35,,,,
Time,2,,51.2,,52.3,,,,
Grade,2,,0,,0,,,,
Median,2,,12,,12,,,,
Offset,2,,0,,0,,,,
TWLTL,2,,0,,0,,,,
Crosswalk Width,2,,16,,16,,,,
Mandatory Distance,2,,100,,100,,,,
Mandatory Distance2,2,,1539,,1539,,,,
Positioning Distance,2,,1026,,1026,,,,
Positioning Distance2,2,,2052,,2052,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,,false,,false,,,,
Street Name Is Hidden,2,,false,,false,,,,
Up ID,3,,912,,,,,,
Lanes,3,,1,,,,,,
Name,3,,,,,,,,
Distance,3,,468,,,,,,
Speed,3,,30,,,,,,
Time,3,,10.6,,,,,,
Grade,3,,0,,,,,,
Median,3,,12,,,,,,
Offset,3,,0,,,,,,
TWLTL,3,,0,,,,,,
Crosswalk Width,3,,16,,,,,,
Mandatory Distance,3,,200,,,,,,
Mandatory Distance2,3,,1320,,,,,,
Positioning Distance,3,,880,,,,,,
Positioning Distance2,3,,1760,,,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,,false,,,,,,
Street Name Is Hidden,3,,false,,,,,,
Up ID,4,,,,5074,,,,
Lanes,4,,,,0,,,,
Name,4,,,,,,,,
Distance,4,,,,225,,,,
Speed,4,,,,30,,,,
Time,4,,,,5.1,,,,
Grade,4,,,,0,,,,
Median,4,,,,0,,,,
Offset,4,,,,0,,,,
TWLTL,4,,,,0,,,,
Crosswalk Width,4,,,,16,,,,
Mandatory Distance,4,,,,200,,,,
Mandatory Distance2,4,,,,1320,,,,
Positioning Distance,4,,,,880,,,,
Positioning Distance2,4,,,,1760,,,,
Curve Pt X,4,,,,,,,,
Curve Pt Y,4,,,,,,,,
Curve Pt Z,4,,,,,,,,
Link Is Hidden,4,,,,false,,,,
Street Name Is Hidden,4,,,,false,,,,
Up ID,5,812,,,,,,,
Lanes,5,1,,,,,,,
Name,5,55th Ave,,,,,,,
Distance,5,499,,,,,,,
Speed,5,30,,,,,,,
Time,5,11.3,,,,,,,
Grade,5,0,,,,,,,
Median,5,12,,,,,,,
Offset,5,0,,,,,,,
TWLTL,5,0,,,,,,,
Crosswalk Width,5,16,,,,,,,
Mandatory Distance,5,200,,,,,,,
Mandatory Distance2,5,1320,,,,,,,
Positioning Distance,5,880,,,,,,,
Positioning Distance2,5,1760,,,,,,,
Curve Pt X,5,,,,,,,,
Curve Pt Y,5,,,,,,,,
Curve Pt Z,5,,,,,,,,
Link Is Hidden,5,false,,,,,,,
Street Name Is Hidden,5,false,,,,,,,
Up ID,6,,,,2109,,,,
Lanes,6,,,,2,,,,
Name,6,,,,Glendale Ave,,,,
Distance,6,,,,336,,,,
Speed,6,,,,40,,,,
Time,6,,,,5.7,,,,
Grade,6,,,,0,,,,
Median,6,,,,12,,,,
Offset,6,,,,0,,,,
TWLTL,6,,,,0,,,,
Crosswalk Width,6,,,,16,,,,
Mandatory Distance,6,,,,200,,,,
Mandatory Distance2,6,,,,1761,,,,
Positioning Distance,6,,,,1174,,,,
Positioning Distance2,6,,,,2348,,,,
Curve Pt X,6,,,,,,,,
Curve Pt Y,6,,,,,,,,
Curve Pt Z,6,,,,,,,,
Link Is Hidden,6,,,,false,,,,
Street Name Is Hidden,6,,,,false,,,,
Up ID,7,3050,,,,,,,
Lanes,7,2,,,,,,,
Name,7,59th Ave,,,,,,,
Distance,7,1885,,,,,,,
Speed,7,40,,,,,,,
Time,7,32.1,,,,,,,
Grade,7,0,,,,,,,
Median,7,12,,,,,,,
Offset,7,0,,,,,,,
TWLTL,7,0,,,,,,,
Crosswalk Width,7,16,,,,,,,
Mandatory Distance,7,200,,,,,,,
Mandatory Distance2,7,1761,,,,,,,
Positioning Distance,7,1174,,,,,,,
Positioning Distance2,7,2348,,,,,,,
Curve Pt X,7,,,,,,,,
Curve Pt Y,7,,,,,,,,
Curve Pt Z,7,,,,,,,,
Link Is Hidden,7,false,,,,,,,
Street Name Is Hidden,7,false,,,,,,,
Up ID,8,,750,,,,,,
Lanes,8,,2,,,,,,
Name,8,,51st Ave,,,,,,
Distance,8,,1315,,,,,,
Speed,8,,40,,,,,,
Time,8,,22.4,,,,,,
Grade,8,,0,,,,,,
Median,8,,12,,,,,,
Offset,8,,0,,,,,,
TWLTL,8,,0,,,,,,
Crosswalk Width,8,,16,,,,,,
Mandatory Distance,8,,200,,,,,,
Mandatory Distance2,8,,1761,,,,,,
Positioning Distance,8,,1174,,,,,,
Positioning Distance2,8,,2348,,,,,,
Curve Pt X,8,,,,,,,,
Curve Pt Y,8,,,,,,,,
Curve Pt Z,8,,,,,,,,
Link Is Hidden,8,,false,,,,,,
Street Name Is Hidden,8,,false,,,,,,
Up ID,9,921,217,287,10,,,,
Lanes,9,1,1,1,1,,,,
Name,9,58th Ave,58th Ave,Glenn Dr,Glenn Dr,,,,
Distance,9,439,399,556,371,,,,
Speed,9,25,25,25,25,,,,
Time,9,12.0,10.9,15.2,10.1,,,,
Grade,9,0,0,0,0,,,,
Median,9,0,0,0,0,,,,
Offset,9,0,0,0,0,,,,
TWLTL,9,0,0,0,0,,,,
Crosswalk Width,9,16,16,16,16,,,,
Mandatory Distance,9,200,200,200,200,,,,
Mandatory Distance2,9,1101,1101,1101,1101,,,,
Positioning Distance,9,734,734,734,734,,,,
Positioning Distance2,9,1468,1468,1468,1468,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,false,false,false,false,,,,
Street Name Is Hidden,9,false,false,false,false,,,,
Up ID,10,919,301,9,11,,,,
Lanes,10,1,1,1,1,,,,
Name,10,57th Dr,57th Dr,Glenn Dr,Glenn Dr,,,,
Distance,10,438,399,371,390,,,,
Speed,10,25,25,25,25,,,,
Time,10,11.9,10.9,10.1,10.6,,,,
Grade,10,0,0,0,0,,,,
Median,10,0,0,0,0,,,,
Offset,10,0,0,0,0,,,,
TWLTL,10,0,0,0,0,,,,
Crosswalk Width,10,16,16,16,16,,,,
Mandatory Distance,10,200,200,200,200,,,,
Mandatory Distance2,10,1101,1101,1101,1101,,,,
Positioning Distance,10,734,734,734,734,,,,
Positioning Distance2,10,1468,1468,1468,1468,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,false,false,false,false,,,,
Street Name Is Hidden,10,false,false,false,false,,,,
Up ID,11,918,313,10,12,,,,
Lanes,11,1,1,1,1,,,,
Name,11,57th Ave,57th Ave,Glenn Dr,Glenn Dr,,,,
Distance,11,438,414,390,374,,,,
Speed,11,25,25,25,25,,,,
Time,11,11.9,11.3,10.6,10.2,,,,
Grade,11,0,0,0,0,,,,
Median,11,0,0,0,0,,,,
Offset,11,0,0,0,0,,,,
TWLTL,11,0,0,0,0,,,,
Crosswalk Width,11,16,16,16,16,,,,
Mandatory Distance,11,200,200,200,200,,,,
Mandatory Distance2,11,1101,1101,1101,1101,,,,
Positioning Distance,11,734,734,734,734,,,,
Positioning Distance2,11,1468,1468,1468,1468,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,false,false,false,false,,,,
Street Name Is Hidden,11,false,false,false,false,,,,
Up ID,12,915,108,11,937,,,,
Lanes,12,1,1,1,1,,,,
Name,12,56th Ave,56th Ave,Glenn Dr,Glenn Dr,,,,
Distance,12,437,449,374,781,,,,
Speed,12,30,30,40,40,,,,
Time,12,9.9,10.2,6.4,13.3,,,,
Grade,12,0,0,0,0,,,,
Median,12,0,0,*0,*0,,,,
Offset,12,0,0,0,0,,,,
TWLTL,12,0,0,0,0,,,,
Crosswalk Width,12,16,16,16,16,,,,
Mandatory Distance,12,200,200,200,200,,,,
Mandatory Distance2,12,1320,1320,1761,1761,,,,
Positioning Distance,12,880,880,1174,1174,,,,
Positioning Distance2,12,1760,1760,2348,2348,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,false,false,false,false,,,,
Street Name Is Hidden,12,false,false,false,false,,,,
Up ID,13,909,,937,273,,,,
Lanes,13,1,,1,1,,,,
Name,13,54th Ave.,,Glenn Dr,Glenn Dr,,,,
Distance,13,444,,748,390,,,,
Speed,13,25,,25,25,,,,
Time,13,12.1,,20.4,10.6,,,,
Grade,13,0,,0,0,,,,
Median,13,12,,12,12,,,,
Offset,13,0,,0,0,,,,
TWLTL,13,0,,0,0,,,,
Crosswalk Width,13,16,,16,16,,,,
Mandatory Distance,13,395,,395,395,,,,
Mandatory Distance2,13,1101,,1101,1101,,,,
Positioning Distance,13,734,,734,734,,,,
Positioning Distance2,13,1468,,1468,1468,,,,
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,false,,false,false,,,,
Street Name Is Hidden,13,false,,false,false,,,,
Up ID,14,937,,2125,,,,,
Lanes,14,2,,1,,,,,
Name,14,55th Ave,,Myrtle Ave,,,,,
Distance,14,869,,2663,,,,,
Speed,14,25,,25,,,,,
Time,14,23.7,,72.6,,,,,
Grade,14,0,,0,,,,,
Median,14,12,,0,,,,,
Offset,14,0,,0,,,,,
TWLTL,14,0,,0,,,,,
Crosswalk Width,14,16,,16,,,,,
Mandatory Distance,14,100,,100,,,,,
Mandatory Distance2,14,1101,,1101,,,,,
Positioning Distance,14,734,,734,,,,,
Positioning Distance2,14,1468,,1468,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,false,,false,,,,,
Street Name Is Hidden,14,false,,false,,,,,
Up ID,15,,,858,,,,,
Lanes,15,,,1,,,,,
Name,15,,,Maryland Ave,,,,,
Distance,15,,,1133,,,,,
Speed,15,,,25,,,,,
Time,15,,,30.9,,,,,
Grade,15,,,0,,,,,
Median,15,,,12,,,,,
Offset,15,,,0,,,,,
TWLTL,15,,,0,,,,,
Crosswalk Width,15,,,16,,,,,
Mandatory Distance,15,,,200,,,,,
Mandatory Distance2,15,,,1101,,,,,
Positioning Distance,15,,,734,,,,,
Positioning Distance2,15,,,1468,,,,,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,,false,,,,,
Street Name Is Hidden,15,,,false,,,,,
Up ID,16,,2206,,,,,,
Lanes,16,,1,,,,,,
Name,16,,61st Ave,,,,,,
Distance,16,,2649,,,,,,
Speed,16,,40,,,,,,
Time,16,,45.2,,,,,,
Grade,16,,0,,,,,,
Median,16,,12,,,,,,
Offset,16,,0,,,,,,
TWLTL,16,,0,,,,,,
Crosswalk Width,16,,16,,,,,,
Mandatory Distance,16,,200,,,,,,
Mandatory Distance2,16,,1761,,,,,,
Positioning Distance,16,,1174,,,,,,
Positioning Distance2,16,,2348,,,,,,
Curve Pt X,16,,,,,,,,
Curve Pt Y,16,,,,,,,,
Curve Pt Z,16,,,,,,,,
Link Is Hidden,16,,false,,,,,,
Street Name Is Hidden,16,,false,,,,,,
Up ID,17,,2212,3350,,,,,
Lanes,17,,1,1,,,,,
Name,17,,63rd Ave.,Orangewood Ave,,,,,
Distance,17,,2640,2430,,,,,
Speed,17,,25,40,,,,,
Time,17,,72.0,41.4,,,,,
Grade,17,,0,0,,,,,
Median,17,,0,12,,,,,
Offset,17,,0,0,,,,,
TWLTL,17,,0,0,,,,,
Crosswalk Width,17,,16,16,,,,,
Mandatory Distance,17,,100,100,,,,,
Mandatory Distance2,17,,1101,1761,,,,,
Positioning Distance,17,,734,1174,,,,,
Positioning Distance2,17,,1468,2348,,,,,
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,,false,false,,,,,
Street Name Is Hidden,17,,false,false,,,,,
Up ID,18,825,,,,,,,
Lanes,18,3,,,,,,,
Name,18,51st Ave,,,,,,,
Distance,18,1944,,,,,,,
Speed,18,40,,,,,,,
Time,18,33.1,,,,,,,
Grade,18,0,,,,,,,
Median,18,12,,,,,,,
Offset,18,0,,,,,,,
TWLTL,18,0,,,,,,,
Crosswalk Width,18,16,,,,,,,
Mandatory Distance,18,200,,,,,,,
Mandatory Distance2,18,1761,,,,,,,
Positioning Distance,18,1174,,,,,,,
Positioning Distance2,18,2348,,,,,,,
Curve Pt X,18,,,,,,,,
Curve Pt Y,18,,,,,,,,
Curve Pt Z,18,,,,,,,,
Link Is Hidden,18,false,,,,,,,
Street Name Is Hidden,18,false,,,,,,,
Up ID,19,,,909,,,,,
Lanes,19,,,2,,,,,
Name,19,,,Glendale Ave.,,,,,
Distance,19,,,965,,,,,
Speed,19,,,40,,,,,
Time,19,,,16.4,,,,,
Grade,19,,,0,,,,,
Median,19,,,12,,,,,
Offset,19,,,0,,,,,
TWLTL,19,,,0,,,,,
Crosswalk Width,19,,,16,,,,,
Mandatory Distance,19,,,200,,,,,
Mandatory Distance2,19,,,1761,,,,,
Positioning Distance,19,,,1174,,,,,
Positioning Distance2,19,,,2348,,,,,
Curve Pt X,19,,,,,,,,
