[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-2456,151,0,,,,,,
2,1,-1023,511,0,,,,,,
3,1,-1146,-875,0,,,,,,
4,1,2805,-744,0,,,,,,
5,1,2809,351,0,,,,,,
6,3,969,-124,0,,,,,,
7,1,4450,199,0,,,,,,
8,1,4446,-335,0,,,,,,
9,1,-535,-544,0,,,,,,
10,1,-2462,-785,0,,,,,,
11,0,-5105,-140,0,,,,,,
12,0,-3602,-124,0,,,,,,
13,0,-2455,-124,0,,,,,,
14,0,-1132,-117,0,,,,,,
15,0,45,-121,0,,,,,,
16,0,1505,-125,0,,,,,,
17,0,2809,-123,0,,,,,,
18,0,4446,-116,0,,,,,,
19,0,5440,-115,0,,,,,,
20,1,-3609,-388,0,,,,,,
21,1,970,235,0,,,,,,
22,1,968,-479,0,,,,,,
23,1,-522,137,0,,,,,,
24,2,-5484,-144,0,,,,,,
101,1,-7205,-144,0,,,,,,
102,1,-5099,1187,0,,,,,,
103,1,-1208,1488,0,,,,,,
104,1,275,453,0,,,,,,
105,1,1588,534,0,,,,,,
106,1,5440,1186,0,,,,,,
Mandatory Distance2,7,1101,,,,,
Positioning Distance,7,734,,,,,
Positioning Distance2,7,1468,,,,,
Curve Pt X,7,,,,,,
Curve Pt Y,7,,,,,,
Curve Pt Z,7,,,,,,
Link Is Hidden,7,false,,,,,
Street Name Is Hidden,7,false,,,,,
Up ID,8,,18,,,,
Lanes,8,,1,,,,
Name,8,,C St,,,,
Distance,8,,219,,,,
Speed,8,,25,,,,
Time,8,,6.0,,,,
Grade,8,,0,,,,
Median,8,,12,,,,
Offset,8,,0,,,,
TWLTL,8,,0,,,,
Crosswalk Width,8,,16,,,,
Mandatory Distance,8,,200,,,,
Mandatory Distance2,8,,1101,,,,
Positioning Distance,8,,734,,,,
Positioning Distance2,8,,1468,,,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,,false,,,,
Street Name Is Hidden,8,,false,,,,
Up ID,9,,2001,,,,
Lanes,9,,1,,,,
Name,9,,N 19th Ave,,,,
Distance,9,,424,,,,
Speed,9,,30,,,,
Time,9,,9.6,,,,
Grade,9,,0,,,,
Median,9,,0,,,,
Offset,9,,0,,,,
TWLTL,9,,0,,,,
Crosswalk Width,9,,16,,,,
Mandatory Distance,9,,200,,,,
Mandatory Distance2,9,,1320,,,,
Positioning Distance,9,,880,,,,
Positioning Distance2,9,,1760,,,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,,false,,,,
Street Name Is Hidden,9,,false,,,,
Up ID,10,,13,,,,
Lanes,10,,1,,,,
Name,10,,31st Ave,,,,
Distance,10,,661,,,,
Speed,10,,30,,,,
Time,10,,15.0,,,,
Grade,10,,0,,,,
Median,10,,0,,,,
Offset,10,,0,,,,
TWLTL,10,,0,,,,
Crosswalk Width,10,,16,,,,
Mandatory Distance,10,,200,,,,
Mandatory Distance2,10,,1320,,,,
Positioning Distance,10,,880,,,,
Positioning Distance2,10,,1760,,,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,,false,,,,
Street Name Is Hidden,10,,false,,,,
Up ID,11,112,102,24,12,,
Lanes,11,5,5,4,4,,
Name,11,N 35th Ave,N 35th Ave,Dunlap Ave,Dunlap Ave,,
Distance,11,1848,1327,379,1503,,
Speed,11,35,30,40,35,,
Time,11,36.0,30.2,6.5,29.3,,
Grade,11,0,0,0,0,,
Median,11,24,24,12,12,,
Offset,11,0,0,0,0,,
TWLTL,11,0,0,0,1,,
Crosswalk Width,11,16,16,16,16,,
Mandatory Distance,11,575,575,575,575,,
Mandatory Distance2,11,1539,1320,1761,1539,,
Positioning Distance,11,1026,880,1174,1026,,
Positioning Distance2,11,2052,1760,2348,2052,,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,false,false,false,false,,
Street Name Is Hidden,11,false,false,false,false,,
Up ID,12,20,,11,13,,
Lanes,12,3,,3,3,,
Name,12,Cortez HS Exit,,Dunlap Ave,Dunlap Ave,,
Distance,12,264,,1503,1147,,
Speed,12,25,,35,35,,
Time,12,7.2,,29.3,22.3,,
Grade,12,0,,0,0,,
Median,12,24,,12,12,,
Offset,12,0,,0,0,,
TWLTL,12,0,,1,1,,
